
Câu gốc,Câu chuẩn hóa
"SK dạo này ko tốt hay mệt mỏi ghê","sức khỏe dạo này không tốt hay mệt mỏi ghê"
"sk tối nay m cs đi cug ae ko","sự kiện tối nay mày có đi cùng anh em không"
"BV bữa nay đông ng đợi khám qá m","bệnh viện bữa nay đông người đợi khám quá mày"
"cmsn bạn hiền nha tuổi mới đzai hơn","chúc mừng sinh nhật bạn hiền nha tuổi mới đẹp trai hơn"
"cmnm chúc ace năm mới vạn sự như ý","chúc mừng năm mới chúc anh chị em năm mới vạn sự như ý"
"qtqd m mặc bộ này nhìn slay thật sự","quá trời quá đất mày mặc bộ này nhìn xuất sắc thật sự"
"thks cj đã cho e mượn cuốn sách nhé","cảm ơn chị đã cho em mượn cuốn sách nhé"
"sry nãy t đg lmj nên chx thấy ib","xin lỗi nãy tao đang làm gì nên chưa thấy nhắn tin"
"ce mình hnay ai cũng xinh đẹp hết nha","chị em mình hôm nay ai cũng xinh đẹp hết nha"
"ace trong nhà có j bảo ban nhau nhé","anh chị em trong nhà có gì bảo ban nhau nhé"
"onl thì trả lời t gấp cái vc này","trực tuyến thì trả lời tao gấp cái việc này"
"ms sáng ra mà trời đã mưa to r","mới sáng ra mà trời đã mưa to rồi"
"lói khẽ thôi để bả ngủ tí m ơi","nói khẽ thôi để bạn ấy ngủ tí mày ơi"
"unf cno đi toàn đăng tin toxic thôi","hủy kết bạn chúng nó đi toàn đăng tin tiêu cực thôi"
"FB t bị lỗi ko cmt đc bực ghê","Facebook tao bị lỗi không bình luận được bực ghê"
"tt dạo này nhìu trend biến hình đỉnh","Tiktok dạo này nhiều trend biến hình đỉnh"
"nhắn qua xl cho t tiện gửi ảnh nha","nhắn qua Zalo cho tao tiện gửi ảnh nha"
"mess gọi video nay bị lag qá m ơi","Messenger gọi video nay bị lag quá mày ơi"
"fl kênh này đi nhìu tip học tập hay","theo dõi kênh này đi nhiều tip học tập hay"
"yt dạo này qc nhìu wa xem mất hứng","YouTube dạo này quảng cáo nhiều quá xem mất hứng"
"cmt khen bả một câu cho bả zui đi","bình luận khen bạn ấy một câu cho bạn ấy vui đi"
"b rảnh ko qua đèo t đi mua đồ ăn","bạn rảnh không qua đèo tao đi mua đồ ăn"
"thik màu nào m nói t lấy cho luôn","thích màu nào mày nói tao lấy cho luôn"
"đc nghỉ lễ m tính đi đâu chs ko","được nghỉ lễ mày tính đi đâu chơi không"
"vs t thì gđ luôn là quan trọng nhất","với tao thì gia đình luôn là quan trọng nhất"
"uk t bít r mai t qua nhà m","ừ tao biết rồi mai tao qua nhà mày"
"j mà m hớt hải thế bả cs s ko","gì mà mày hớt hải thế bạn ấy có sao không"
"trl t lẹ đi mn đg đợi m đó","trả lời tao lẹ đi mọi người đang đợi mày đó"
"avt mới nhìn m đtr hẳn ra luôn","ảnh đại diện mới nhìn mày đẹp trai hẳn ra luôn"
"nnao m mới chịu đi học bài đây m","như nào mày mới chịu đi học bài đây mày"
"nnay thì t bít giải quyết s h ae","như này thì tao biết giải quyết sao giờ anh em"
"đz thế này mà chx cs ny à m","đẹp trai thế này mà chưa có người yêu à mày"
"iu đời lên m ơi bùn lmj cho già","yêu đời lên mày ơi buồn làm gì cho già"
"cr m vừa ms nhắn tin cho t kìa","người mình thích mày vừa mới nhắn tin cho tao kìa"
"z tối nay mìn đi ăn đồ nướng nha","vậy tối nay mình đi ăn đồ nướng nha"
"đth t đg bị đơ ko rep nhanh đc","điện thoại tao đang bị đơ không trả lời nhanh được"
"típ tục cố gắng nha m thi tốt nhé","tiếp tục cố gắng nha mày thi tốt nhé"
"nx đi t đg hóng bả kể tiếp nè","nữa đi tao đang hóng bạn ấy kể tiếp này"
"thui bỏ qua đi đừng giận bả nx m","thôi bỏ qua đi đừng giận bạn ấy nữa mày"
"đg nấu cơm tí t gọi lại cho m nha","đang nấu cơm tí tao gọi lại cho mày nha"
"cx tại m hay đi muộn nên sếp mắng","cũng tại mày hay đi muộn nên sếp mắng"
"said lời xin lỗi m thấy khó lém à","nói lời xin lỗi mày thấy khó lắm à"
"dép lào m cs thấy tin nhắn t ko","Zalo mày có thấy tin nhắn tao không"
"bl văn minh lịch sự nha các b ơi","bình luận văn minh lịch sự nha các bạn ơi"
"wa nhà t chơi game mới mua ko b","qua tao nhà chơi game mới mua không bạn"
"khok một trận cho nhẹ lòng r thôi m","khóc một trận cho nhẹ lòng rồi thôi mày"
"đrui m làm thế là chuẩn bài r đó","đúng rồi mày làm thế là chuẩn bài rồi đó"
"vdu m giàu m sẽ mua j cho t","ví dụ mày giàu mày sẽ mua gì cho tao"
"ei tối nay có đá bóng ko ra sân nhé","ê tối nay có đá bóng ra sân nhé"
"hi mng mìn là mem mới của hội","xin chào mọi người mình là thành viên mới của hội"
"pp nhé mai gặp lại m ở trường nha","tạm biệt nhé mai gặp lại mày ở trường nha"
"nngon nhé cả nhà thân iu của t","ngủ ngon nhé cả nhà thân yêu của tao"
"ah t mới đi du lịch về có quà cho m","anh tao mới đi du lịch về có quà cho mày"
"ck t nay tâm lý quá tặng hoa cho vk","chồng tao nay tâm lý quá tặng hoa cho vợ"
"cre ảnh này m lấy ở đâu đẹp z","nguồn ảnh này mày lấy ở đâu đẹp vậy"
"ctay r buồn qá nhưng t sẽ ổn thôi","chia tay rồi buồn quá nhưng tao sẽ ổn thôi"
"đk xe này chạy êm thật sự m ạ","đúng không xe này chạy êm thật sự mày ạ"
"e đi chợ mua đồ xíu cj trông nhà nha","em đi chợ mua đồ xíu chị trông nhà nha"
"fact m hay lười chứ bài ko khó đâu","sự thật mày hay lười chứ bài không khó đâu"
"fake túi hiệu h nhìn y như thật m ạ","giả mạo túi hiệu giờ nhìn y như thật mày ạ"
"flop qá bả dỗi khóa luôn acc r","mất tương tác quá bạn ấy dỗi khóa luôn tài khoản rồi"
"hh con mèo nhà m tấu hài ghê á","haha con mèo nhà mày tấu hài ghê á"
"kkk trêu m xíu mà m đã dỗi r à","cười mày xíu mà mày đã dỗi rồi à"
"ib hỏi giá áo này cho mìn vs shop","nhắn tin hỏi giá áo này cho mình với shop"
"in4 tk đó m hỏi cj m xem bít ko","thông tin thằng đó mày hỏi chị mày xem biết không"
"k t ko ăn rau cần đâu m đừng lấy","không tao không ăn rau cần đâu mày đừng lấy"
"ko cs tiền thì ở nhà lướt mxh đi m","không có tiền thì ở nhà lướt mạng xã hội đi mày"
"khum đi đc đâu hnay t trực nhật r","không đi được đâu hôm nay tao trực nhật rồi"
"no t ko ăn đêm đâu đg giảm cân m","không tao không ăn đêm đâu đang giảm cân mày"
"kh có chuyện đó đâu cđm đồn xàm đó","không có chuyện đó đâu cộng đồng mạng đồn xàm đó"
"kr của t là m nên đi xin lỗi bả","ý kiến riêng của tao là mày nên đi xin lỗi bạn ấy"
"m sang nhà t lấy vở về mà chép bài","mày sang nhà tao lấy vở về mà chép bài"
"t chỉ mún ở nhà ngủ một giấc thật sâu","tao chỉ muốn ở nhà ngủ một giấc thật sâu"
"cno kêu m nay ra sân muộn đó m","chúng nó kêu mày nay ra sân muộn đó mày"
"mem mới nộp quỹ lớp lẹ đi m ơi","thành viên mới nộp quỹ lớp lẹ đi mày ơi"
"mtr m nha hwa t lỡ làm hỏng bút m","mong trả mày nha hôm qua tao lỡ làm hỏng bút mày"
"mxh dạo này nhìu drama hít ko kịp","mạng xã hội dạo này nhiều drama hít không kịp"
"bn có bít tiệm sửa đth nào uy tín ko","bạn có biết tiệm sửa điện thoại nào uy tín không"
"mình đag chuẩn bị đi làm đây m ơi","mình đang chuẩn bị đi làm đây mày ơi"
"h m mới về tới nhà hả ăn cơm chx","giờ mày mới về tới nhà hả ăn cơm chưa"
"tks b đã nhắc tớ lịch thi hnay nha","cảm ơn bạn đã nhắc tớ lịch thi hôm nay nha"
"cv dạo này ổn ko a thấy m hay thức khuya","công việc dạo này ổn không anh thấy mày hay thức khuya"
"gđ mình cuối tuần hay đi cf cùng nhau","gia đình mình cuối tuần hay đi cf cùng nhau"
"klq nma m mới làm tóc ở đâu slay z","không liên quan nhưng mà mày mới làm tóc ở đâu xuất sắc vậy"
"cđm dạo này hay soi mói nyc của ổng ghê","cộng đồng mạng dạo này hay soi mói người yêu cũ của ông ấy ghê"
"nym của bả nhìn cũng đzai dth phết","người yêu mới của bạn ấy nhìn cũng đẹp trai dễ thương phết"
"kb zalo vs t đi để t gửi bài tập","kết bạn zalo với tao đi để tao gửi bài tập"
"sr nãy t đg lái xe ko rep ib đc","xin lỗi nãy tao đang lái xe không trả lời nhắn tin được"
"thg em t nó lười qtqd lói ko nghe","thằng em tao nó lười quá trời quá đất nói không nghe"
"bả đag bùn khok vì thg tk đó đó","bạn ấy đang khóc buồn vì thằng thằng đó đó"
"mxh nay toàn tin vịt m đừng tin nha","mạng xã hội nay toàn tin vịt mày đừng tin nha"
"bít j chx ổng mới tậu đth xịn lém","biết gì chưa ông ấy mới tậu điện thoại xịn lắm"
"t ms đi làm về mệt sml m ơi","tao mới đi làm về mệt sấp mặt mày ơi"
"cr vừa mới thả tim stt của t kìa","người mình thích vừa mới thả tim trạng thái của tao kìa"
"z tối nay ae mình đi ăn ốc nha","vậy tối nay anh em mình đi ăn ốc nha"
"zạy là mai m đi công tác hả b","vậy là mai mày đi công tác hả bạn"
"v thui e ko sang nhà a nx đâu","vậy thôi em không sang nhà anh nữa đâu"
"dậy đi m trưa trật r chx chịu dậy nx","dậy đi mày trưa trật rồi chưa chịu dậy nữa"
"dth wa shop ơi cho t xin giá váy","dễ thương quá shop ơi cho tao xin giá váy"
"dthuongg z m mua ở đâu chỉ t vs","dễ thương vậy mày mua ở đâu chỉ tao với"
"đth t dạo này hay bị đơ ko lmj đc","điện thoại tao dạo này hay bị đơ không làm gì được"
"cj e nhà m nhìn giống nhau y chang","chị em nhà mày nhìn giống nhau y chang"
"ae mình tối nay làm ván game ko","anh em mình tối nay làm ván game không"
"típ đi ổng kể chuyện nghe cuốn wa","tiếp đi ông ấy kể chuyện nghe cuốn quá"
"nx thui t đg hóng bả lói j nè","nữa thôi tao đang hóng bạn ấy nói gì này"
"th m đừng bùn nx t bao đi ăn","thôi mày đừng buồn nữa tao bao đi ăn"
"thui ko ns nx t đi ngủ đây nngon","thôi không nói nữa tao đi ngủ đây ngủ ngon"
"thoi kệ ổng đi hơi đâu mà qtam","thôi kệ ông ấy đi hơi đâu mà quan tâm"
"thoai e đi học đây ck iu nngon nha","thôi em đi học đây chồng yêu ngủ ngon nha"
"ce mình hôm nay lên đồ slay xỉu","chị em mình hôm nay lên đồ xuất sắc xỉu"
"e mua đồ ăn sáng rồi cj dậy ăn đi","em mua đồ ăn sáng rồi chị dậy ăn đi"
"ace trong nhóm ai rảnh đi cf ko m","anh chị em trong nhóm ai rảnh đi cf không mày"
"onl lướt FB xíu rồi t đi ngủ đây","trực tuyến lướt Facebook xíu rồi tao đi ngủ đây"
"đag ở quán trà sữa chán qtqd lun","đang ở quán trà sữa chán quá trời quá đất luôn"
"đg bận sml sếp bắt làm lại báo cáo","đang bận sấp mặt sếp bắt làm lại báo cáo"
"dg tính đi tắm thì đth rung liên tục","đang tính đi tắm thì điện thoại rung liên tục"
"ms lmj đó ngta thấy m đi vs nyc","mới làm gì đó người ta thấy mày đi với người yêu cũ nha"
"cx may là hwa t kịp trú mưa nha","cũng may là hôm qua tao kịp trú mưa nha"
"cũg đg rảnh chiều nay qua m chơi nha","cũng đang rảnh chiều nay qua mày chơi nha"
"lói sạo m đéo tin đc lòi đuôi r","nói sạo mày không tin được lòi đuôi rồi"
"ns chứ m mặc bộ này dth qá t chấm","nói chứ mày mặc bộ này dễ thương quá tao chấm"
"said lời iu r mà bả ko rep t","nói lời yêu rồi mà bạn ấy không trả lời tao"
"unf r t đéo thik tk đó nữa m ạ","hủy kết bạn rồi tao không thích thằng đó nữa mày ạ"
"FB s nay ko load đc clip z m","Facebook sao nay không load được clip vậy mày"
"ig t để chế độ riêng tư r b nhé","Instagram tao để chế độ riêng tư rồi bạn nhé"
"tt hwa có clip tk đó nhảy đỉnh wa","Tiktok hôm qua có clip thằng đó nhảy đỉnh quá"
"xl m t chặn r ko nt đc nx","Zalo mày tao chặn rồi không nhắn tin được nữa"
"dép lào nay ai đổi avt đôi vs m z","Zalo nay ai đổi ảnh đại diện đôi với mày vậy"
"mess t đg lỗi ko gửi đc ảnh m ơi","Messenger tao đang lỗi không gửi được ảnh mày ơi"
"fl kênh này đi nhìu tip học tập hay lém","theo dõi kênh này đi nhiều tip học tập hay lắm"
"sđt tk shop bữa m cho gọi ko đc nha","số điện thoại thằng shop bữa mày cho gọi không được nha"
"yt ko cs mạng lướt chán phèo t ngủ nha","YouTube không có mạng lướt chán phèo tao ngủ nha"
"ytb tk đó bị sập kênh do vi phạm r","YouTube thằng đó bị sập kênh do vi phạm rồi"
"cmt stt bả lẹ đi m thả thính coi dính k","bình luận trạng thái bạn ấy lẹ đi mày thả thính coi dính không"
"bl văn minh lên ae đừng toxic wa nha","bình luận văn minh lên anh em đừng tiêu cực quá nha"
"acc fb t bị khóa r cđm chơi ác qá","tài khoản facebook tao bị khóa rồi cộng đồng mạng chơi ác quá"
"bb hnay ăn giỏi lém cj khỏi lo nha","em bé hôm nay ăn giỏi lắm chị khỏi lo nha"
"cmsn a trai t nay mua bánh kem lmj z","chúc mừng sinh nhật anh trai tao nay mua bánh kem làm gì vậy"
"cmnm chúc cả nhà năm mới mạnh khỏe zui vẻ","chúc mừng năm mới chúc cả nhà năm mới mạnh khỏe vui vẻ"
"SK ko ổn t đi BV khám r ae ạ","sức khỏe không ổn tao đi bệnh viện khám rồi anh em ạ"
"sk mxh hnay cs lmj zui ko ae chỉ t","sự kiện mạng xã hội hôm nay có làm gì vui không anh em chỉ tao"
"BV dạo này đông bệnh nhân chờ khám qá","bệnh viện dạo này đông bệnh nhân chờ khám quá"
"bcs có bán ở trạm xá ko m nhỉ t lười","bao cao su có bán ở trạm xá không mày nhỉ tao lười"
"klq nha bả đzai nma hơi chảnh t chê","không liên quan nha bạn ấy đẹp trai nhưng mà hơi chảnh tao chê"
"tks a đã giúp e dọn phòng hwa nha a","cảm ơn anh đã giúp em dọn phòng hôm qua nha anh"
"cv dạo này áp lực m mún nghỉ ghê m","công việc dạo này áp lực mày muốn nghỉ ghê mày"
"gđ ổng đg ở quê lên thăm ổng kìa","gia đình ông ấy đang ở quê lên thăm ông ấy kìa"
"nyc nt làm t rối quá m ơi kíu t","người yêu cũ nhắn tin làm tao rối quá mày ơi cứu tao"
"cđm lùng ra in4 ổng nhanh thật sự lun","cộng đồng mạng lùng ra thông tin ông ấy nhanh thật sự luôn"
"nym m nhìn dth s chịu nổi ae ơii","người yêu mới mày nhìn dễ thương sao chịu nổi anh em ơii"
"kb ig đi t fl lại cho m nha ní","kết bạn Instagram đi tao theo dõi lại cho mày nha bạn"
"sr a e vừa mới onl nên chx rep ib","xin lỗi anh em vừa mới trực tuyến nên chưa trả lời nhắn tin"
"t chiều nay chx lmj đg bùn ngủ lém","tao chiều nay chưa làm gì đang buồn ngủ lắm"
"đr bả nói thích thằng đó từ lâu r nha","đúng rồi bạn ấy nói thích thằng đó từ lâu rồi nha"
"mh m ms đi làm về để t qua đón","mấy giờ mày mới đi làm về để tao đón"
"thik ăn gì cnay t bao m nha lâu ko gặp","thích ăn gì chiều nay tao bao mày nha lâu không gặp"
"bthg t hay đi bộ buổi sáng cho khỏe ng","bình thường tao hay đi bộ buổi sáng cho khỏe người"
"đc r m đợi t xíu t cbi xong t qa","được rồi mày đợi tao xíu tao chuẩn bị xong tao qua"
"ừm m đi cẩn thận nha nngon nhé ní","ừm mày đi cẩn thận nha ngủ ngon nhé bạn"
"uk t onl r m nói tiếp đi t đg nghe","ừ tao trực tuyến rồi mày nói tiếp đi tao đang nghe"
"um acp xl bả đi bả buồn lắm đó m","ừm đồng ý Zalo bạn ấy đi bạn ấy buồn lắm đó mày"
"r j trl ib t nha đg có việc qtr","rồi gì trả lời nhắn tin tao nha đang có việc quan trọng"
"giề m nói gì t nghe ko rõ mạng lag wa","gì mày mới nói gì tao nghe không rõ mạng lag quá"
"rep lẹ nha bả đg chờ tin m đó tk kia","trả lời lẹ nha bạn ấy đang chờ tin mày đó thằng kia"
"off FB lmj z bùn chán mxh r à m","ngoại tuyến Facebook làm gì vậy buồn chán mạng xã hội rồi à mày"
"avt mới đổi slay qtqd lun m ạ đzai","ảnh đại diện mới đổi xuất sắc quá trời quá đất luôn mày ạ đẹp trai"
"ntn rồi ổng có nhắn tin lại cho m ko","như thế nào rồi ông ấy có nhắn tin lại cho mày không"
"nnao ms đúng rồi hở mn t rối trí wa","như nào mới đúng rồi hở mọi người tao rối trí quá"
"nnay t khóc thật chứ đùa j đâu m","như này tao khóc thật chứ đùa gì đâu mày"
"đtr dz wa ngta iu m mất rồi bả ạ","đẹp trai đẹp trai quá người ta yêu mày mất rồi bạn ấy ạ"
"depzai iu bả lém bít ko m ơi t cá lun","đẹp trai yêu bạn ấy lắm biết không mày ơi tao cá luôn"
"eo cr r mà ko dám kết bạn fb chán","yêu người mình thích rồi mà không dám kết bạn fb chán"
"z zạy thui m nghỉ đi t bận xíu việc gđ","vậy vậy thôi mày nghỉ đi tao bận xíu việc gia đình"
"v dậy t về trước m nha pp ae mìn nha","vậy vậy tao về trước mày nha tạm biệt anh em mình nha"
"dthuongg đth ms mua hả m nhìn mượt v","dễ thương điện thoại mới mua hả mày nhìn mượt vậy"
"cj ae m đg lmj z đi cf ko m rảnh k","chị anh em mày đang làm gì vậy đi cf không mày rảnh không"
"típ nx ko ae đg hóng bả nói nè m","tiếp nữa không anh em đang hóng bạn ấy nói này mày"
"th thui nngon m nha t tắt máy đi ngủ","thôi thôi ngủ ngon mày nha tao tắt máy đi ngủ"
"thoai ce e ms về mệt lắm rồi m đi đi","thôi chị em em mới về mệt lắm rồi mày đi đi"
"ace onl tt ko vô hóng drama lẹ lên","anh chị em trực tuyến Tiktok không vô hóng drama lẹ lên"
"đag lmj đó rep mess t lẹ m ơi t đợi","đang làm gì đó trả lời Messenger tao lẹ mày ơi tao đợi"
"dg ms lói xog ổng off lun rồi b chán","đang mới nói xong ông ấy ngoại tuyến luôn rồi bạn chán"
"cx cũg bthg mà s ngta ns ghê z m","cũng cũng bình thường mà sao người ta nói ghê vậy mày"
"said unf tk đó lẹ đi m ơi t mệt đầu","nói hủy kết bạn thằng đó lẹ đi mày ơi tao mệt đầu"
"FB ig flop dập mặt chán ghê m ạ","Facebook Instagram mất tương tác dập mặt chán ghê mày ạ"
"xl ms sđt nha ae kết bạn t nha mng","Zalo mới số điện thoại nha anh em kết bạn tao nha mọi người"
"fl yt ms up tus nè mọi người ơi ủng hộ","theo dõi YouTube mới lên bài viết này mọi người ơi ủng hộ"
"cmt bl vô bài bả đi rồi bít ngay thôi","bình luận bình luận vô bài bạn ấy đi rồi biết ngay thôi"
"acc bả đg bị hack r ae kíu lẹ bả đi","tài khoản bạn ấy đang bị hack rồi anh em cứu lẹ bạn ấy đi"
"cmsn cmnm mn zui vẻ nha SK tốt nhé","chúc mừng sinh nhật chúc mừng năm mới mọi người vui vẻ nha sức khỏe tốt nhé"
"BV bcs mua chưa bả hỏi z đó m trả lời","bệnh viện bao cao su mua chưa bạn ấy hỏi vậy đó mày trả lời"
"hnay ae đg rảnh ko đi lượn phố xíu","hôm nay anh em đang rảnh không đi lượn phố xíu"
"ksao qtrong là m thấy ổn là đc r m","không sao quan trọng là mày thấy ổn là được rồi mày"
"tgian qus wa bùn khóc r m ạ t thương","thời gian quá quá buồn khóc rồi mày ạ tao thương"
"zui hqua đr t ms bít tin đó mừng ghê","vui hôm qua đúng rồi tao mới biết tin đó mừng ghê"
"VD vdu như m thik bả thì s m lói","ví dụ ví dụ như mày thích bạn ấy thì sao mày nói"
"hi lô alo pp m t off nha b ngủ","xin chào xin chào xin chào tạm biệt mày tao ngoại tuyến nha bạn ngủ"
"bai bye nngon nha ck iu của e mìn","tạm biệt tạm biệt ngủ ngon nha chồng yêu của em mình"
"cre ctay đk e fact fake z bả ơi t nghi","nguồn chia tay đúng không em sự thật giả mạo vậy bạn ấy ơi tao nghi"
"flop kkk ib in4 r bả nói t nghe nè","mất tương tác cười nhắn tin thông tin rồi bạn ấy nói tao nghe này"
"k ko kh khum t đéo bít chuyện đó thật","không không không không tao không biết chuyện đó thật"
"m t cno mem mới mtr bả đzai lém","mày tao chúng nó thành viên mới mong trả bạn ấy đẹp trai lắm"
"mxh ngta bả ổng ní otp thật wa m","mạng xã hội người ta bạn ấy ông ấy bạn ghép cặp thật quá mày"
"s same scam slay stt tag bả nha m","sao giống lừa gạt xuất sắc trạng thái gắn thẻ bạn ấy nha mày"
"tcn thg đó up tus zui vẻ z ae mình","trang cá nhân thằng đó lên bài viết vui vẻ vậy anh em mình"
"xh bn b bro m đg lmj v m ơi","xu hướng bạn bạn bạn mày đang làm gì vậy mày ơi"
"bh h mh ms đc đi cf vs m nè","bây giờ giờ mấy giờ mới được đi cf với mày này"
"bít bt bik thik bthg bth đc dc th","biết biết biết thích bình thường bình thường được được thôi"
"vs ừm uk um acp r j giề rep t","với ừ ừ ừm đồng ý rồi gì gì trả lời tao"
"m đag ở nhà chx qua nhà t chơi","mày đang ở nhà chưa qua nhà tao chơi"
"cj tớ ms mua cái đầm slay wa m","chị tớ mới mua cái đầm xuất sắc quá mày"
"tks b nhìu nha hnay t zui qtqd","cảm ơn bạn nhiều nha hôm nay tao vui quá trời quá đất"
"cv dạo này sao r m ổn ko m","công việc dạo này sao rồi mày ổn không mày"
"gđ ổng đg cbi đi du lịch đk m","gia đình ông ấy đang chuẩn bị đi du lịch đúng không mày"
"nyc nt cho t bít rep ntn h m","người yêu cũ nhắn tin cho tao biết trả lời như thế nào giờ mày"
"cđm đg soi mói in4 nym ổng ghê","cộng đồng mạng đang soi mói thông tin người yêu mới ông ấy ghê"
"nym bả nhìn cx dth bthg th ae","người yêu mới bạn ấy nhìn cũng dễ thương bình thường thôi anh em"
"kb ig vs t đi t fl chéo cho nha","kết bạn Instagram với tao đi tao theo dõi chéo cho nha"
"sr ní nha nãy bận cv gđ wa","xin lỗi bạn nha nãy bận công việc gia đình quá"
"m sry bả chx làm bả khok r kìa","mày xin lỗi bạn ấy chưa làm bạn ấy khóc rồi kìa"
"klq nha nay t bùn ngủ qtqd lun","không liên quan nha nay tao buồn ngủ quá trời quá đất luôn"
"tks mn nhìu e nhận đc wà r nha","cảm ơn mọi người nhiều em nhận được quà rồi nha"
"sr cj nay e onl hơi trễ tí cj","xin lỗi chị nay em trực tuyến hơi trễ tí chị"
"cđm chửi tk đó toxic lém đr m","cộng đồng mạng chửi thằng đó tiêu cực lắm đúng rồi mày"
"m kb vs t trên xl đi lẹ","mày kết bạn với tao trên Zalo đi lẹ"
"đag đi ăn vs nyc ngại qtqd m ơi","đang đi ăn với người yêu cũ ngại quá trời quá đất mày ơi"
"cv m dạo này ổn ko kể t nghe","công việc mày dạo này ổn không kể tao nghe"
"gđ bả ms đi BV zề ổn r nha","gia đình bạn ấy mới đi bệnh viện về ổn rồi nha"
"klq nma ổng slay qtqd m bít ko","không liên quan nhưng mà ông ấy xuất sắc quá trời quá đất mày biết không"
"nym bả nhìn hiền vs dth ghê á m","người yêu mới bạn ấy nhìn hiền với dễ thương ghê á mày"
"ae tks t đi t ms mua bánh cho","anh em cảm ơn tao đi tao mới mua bánh cho"
"sr ck nha vk đg mệt lém nngon nha","xin lỗi chồng nha vợ đang mệt lắm ngủ ngon nha"
"cđm tag bả zô tus nhìu wa tr lun","cộng đồng mạng gắn thẻ bạn ấy vô bài viết nhiều quá trời luôn"
"bít in4 tk nyc bả chx ae kể t","biết thông tin thằng người yêu cũ bạn ấy chưa anh em kể tao"
"t ms kb FB vs ổng hwa xog m","tao mới kết bạn Facebook với ông ấy hôm qua xong mày"
"cv s r m rảnh đi nhậu ko ae","công việc sao rồi mày rảnh đi nhậu không anh em"
"gđ ổng đg mún ổng zề quê lmj đó","gia đình ông ấy đang muốn ông ấy về quê làm gì đó"
"klq hnay t thèm trà sữa qtqd ae","không liên quan hôm nay tao thèm trà sữa quá trời quá đất anh em"
"nyc bả đzai nma nết kì lém t chê","người yêu cũ bạn ấy đẹp trai nhưng mà nết kì lắm tao chê"
"cđm khui ra fact r nha ae zô coi","cộng đồng mạng khui ra sự thật rồi nha anh em vô coi"
"tks b iu nhìu ae mik mtr nha b","cảm ơn bạn yêu nhiều anh em mình mong trả nha bạn"
"sr cno nay bận cv ko đi đc r","xin lỗi chúng nó nay bận công việc không đi được rồi"
"nym t nay mua đth cho t zui wa","người yêu mới tao nay mua điện thoại cho tao vui quá"
"kb ig đi ae t fl chéo cho m","kết bạn Instagram đi anh em tao theo dõi chéo cho mày"
"cv m mệt ko t mua cf cho m","công việc mày mệt không tao mua cf cho mày"
"gđ m hnay cs ở nhà ko qua chơi","gia đình mày hôm nay có ở nhà không qua chơi"
"klq ms lướt tt thấy tk đzai wa","không liên quan mới lướt Tiktok thấy thằng đẹp trai quá"
"nyc t onl mà ko rep tn t bùn","người yêu cũ tao trực tuyến mà không trả lời tin nhắn tao buồn"
"cđm up ảnh fake dìm bả wa m","cộng đồng mạng lên ảnh giả mạo dìm bạn ấy quá mày"
"tks ae đã cmsn t hnay nha mn","cảm ơn anh em đã chúc mừng sinh nhật tao hôm nay nha mọi người"
"sr ní nay t bùn ngủ wa t ngủ","xin lỗi bạn nay tao buồn ngủ quá tao ngủ"
"nym bả depzai s bằg ck t đc","người yêu mới bạn ấy đẹp trai sao bằng chồng tao được"
"kb xl m r đó acp đi m ơi","kết bạn Zalo mày rồi đó đồng ý đi mày ơi"
"cv sml lun h ms đc nghỉ mệt","công việc sấp mặt luôn giờ mới được nghỉ mệt"
"gđ đg đi ăn r t ở nhà 1 mik","gia đình đang đi ăn rồi tao ở nhà một mình"
"klq t thik bài tus hqua bả up","không liên quan tao thích bài bài viết hôm qua bạn ấy lên"
"nyc ổng ctay r h ổng đg độc thân","người yêu cũ ông ấy chia tay rồi giờ ông ấy đang độc thân"
"cđm soi kĩ wa làm bả flop lun á","cộng đồng mạng soi kĩ quá làm bạn ấy mất tương tác luôn á"
"tks a zì món wà hnay nha đtr wa","cảm ơn anh vì món quà hôm nay nha đẹp trai quá"
"sr ae ms lmj t off t chx bít j","xin lỗi anh em mới làm gì tao ngoại tuyến tao chưa biết gì"
"nym t dth ae ko đc lói bả z nha","người yêu mới tao dễ thương anh em không được nói bạn ấy vậy nha"
"kb FB ae fl lẹ nha mxh đg hot tin","kết bạn Facebook anh em theo dõi lẹ nha mạng xã hội đang hot tin"
"cv bận qá chx cs tgian onl lun m","công việc bận quá chưa có thời gian trực tuyến luôn mày"
"gđ qtrong lém nha m đừng cs giận gđ","gia đình quan trọng lắm nha mày đừng có giận gia đình"
"klq t ms mua đth hnay mượt wa m","không liên quan tao mới mua điện thoại hôm nay mượt quá mày"
"nyc t nt hỏi cj t là s m ơi","người yêu cũ tao nhắn tin hỏi chị tao là sao mày ơi"
"cđm đg lùng in4 bả s r ae bít k","cộng đồng mạng đang lùng thông tin bạn ấy sao rồi anh em biết không"
"tks b nha t nhận đc r dthuongg lém","cảm ơn bạn nha tao nhận được rồi dễ thương lắm"
"sr e a đg bận cv xíu nt sau","xin lỗi em anh đang bận công việc xíu nhắn tin sau"
"nym t lms z s bùn zạy m lói đi","người yêu mới tao làm sao vậy sao buồn vậy mày nói đi"
"kb r m vô rep t lẹ đi m ơi","kết bạn rồi mày vô trả lời tao lẹ đi mày ơi"
"cv m ms lmj z m bít kq chx m","công việc mày mới làm gì vậy mày biết kết quả chưa mày"
"gđ t ksao ae đừng lo qá nha t ổn","gia đình tao không sao anh em đừng lo quá nha tao ổn"
