Câu gốc,Câu chuẩn hóa
"uk t bít r ko lói nx","ừ tao biết rồi không nói nữa"
"um m acp t lẹ trên FB","ừm mày đồng ý tao lẹ trên Facebook"
"r j m ns típ t nghe","rồi gì mày nói tiếp tao nghe"
"trl ib t lẹ m ơi đg gấp","trả lời nhắn tin tao lẹ mày ơi đang gấp"
"rep t đi ms đó off r à","trả lời tao đi mới đó ngoại tuyến rồi à"
"bả vs ổng ctay r ae","bạn ấy với ông ấy chia tay rồi anh em"
"tk đó đg thả thính bả đk","thằng đó đang thả thính bạn ấy đúng không"
"cr m cs fb ko cho t vs","người mình thích mày có facebook không cho tao với"
"ngta iu bả lém đó ae","người ta yêu bạn ấy lắm đó anh em"
"iu a nhìu lém ck ơi","yêu anh nhiều lắm chồng ơi"
"eo ôi bả dth xỉu ngang","yêu ôi bạn ấy dễ thương xỉu ngang"
"otp này real wa mn ơii","ghép cặp này thật quá mọi người ơii"
"fake fact r nha bả xạo đó","giả mạo sự thật rồi nha bạn ấy xạo đó"
"toxic wa t block tk đó r","tiêu cực quá tao block thằng đó rồi"
"scam đó ae cẩn thận mxh nha","lừa gạt đó anh em cẩn thận mạng xã hội nha"
"kr của t là ổng sai r","ý kiến riêng của tao là ông ấy sai rồi"
"cno đg đi chs vs nhau zui z","chúng nó đang đi chơi với nhau vui vậy"
"m t bả đi cf hnay ko","mày tao bạn ấy đi cf hôm nay không"
"cj t ms ct ngta hqua","chị tao mới chia tay người ta hôm qua"
"e cx bùn m à chx lmj đc","em cũng buồn mày à chưa làm gì được"
"thg kia nhìn đzai z ae","thằng kia nhìn đẹp trai vậy anh em"
"đtr mà nết kì z tr","đẹp trai mà nết kì vậy trời"
"dz lém m xỉu lun đó bả","đẹp trai lắm mày xỉu luôn đó bạn ấy"
"depzai s bằg ck t đc m","đẹp trai sao bằng chồng tao được mày"
"ổng đzai slay wa cj ơii","ông ấy đẹp trai xuất sắc quá chị ơii"
"m ms đổi avt à dth z","mày mới đổi ảnh đại diện à dễ thương vậy"
"fl t đi t mtr cho ae","theo dõi tao đi tao mong trả cho anh em"
"mtr stt t nx nha bả rep r","mong trả trạng thái tao nữa nha bạn ấy trả lời rồi"
"stt bả tag tk nào chx bít","trạng thái bạn ấy gắn thẻ thằng nào chưa biết"
"tcn ổng flop lém ae kíu","trang cá nhân ông ấy mất tương tác lắm anh em cứu"
"tus ms up đc nhìu tt nè","bài viết mới lên được nhiều tương tác này"
"cmt lẹ đi m t đg đợi bả","bình luận lẹ đi mày tao đang đợi bạn ấy"
"bl dạo bị ổng block r m","bình luận dạo bị ông ấy block rồi mày"
"acc t ms tạo mxh ae add lẹ","tài khoản tao mới tạo mạng xã hội anh em kết bạn lẹ"
"unf FB bả đi ae đg bực","hủy kết bạn Facebook bạn ấy đi anh em đang bực"
"ig t ms up ảnh đk m","Instagram tao mới lên ảnh đúng không mày"
"tt dạo này nhìu drama qus bả","Tiktok dạo này nhiều drama quá bạn ấy"
"xl sđt m đâu t ib lẹ","Zalo số điện thoại mày đâu tao nhắn tin lẹ"
"mess bả ms rep t xog","Messenger bạn ấy mới trả lời tao xong"
"ytb bả ms ra clip đk ae","YouTube bạn ấy mới ra clip đúng không anh em"
"bít in4 bả chx ae ns t vs","biết thông tin bạn ấy chưa anh em nói tao với"
"cre ảnh bả lấy ở FB t m ơi","nguồn ảnh bạn ấy lấy ở Facebook tao mày ơi"
"lms đg onl mà ko rep tn","làm sao đang trực tuyến mà không trả lời tin nhắn"
"đag lướt ig thì bả off","đang lướt Instagram thì bạn ấy ngoại tuyến"
"đg lmj z rep mess t nhanh","đang làm gì vậy trả lời Messenger tao nhanh"
"s bả khok bùn hqua z","sao bạn ấy khóc buồn hôm qua vậy"
"zui lém hnay t đc bả rủ đi cf","vui lắm hôm nay tao được bạn ấy rủ đi cf"
"qus mệt lun tg trôi lẹ wa","quá mệt luôn thời gian trôi lẹ quá"
"wa đzai t xỉu ngang ae đỡ t","quá đẹp trai tao xỉu ngang anh em đỡ tao"
"ksao t bthg thoi m chx chết","không sao tao bình thường thôi mày chưa chết"
"qtrong là m thik ổng chx","quan trọng là mày thích ông ấy chưa"
"tgian rảnh ce mik lmj h","thời gian rảnh chị em mình làm gì giờ"
"dr m vs t bít bả xạo r","đúng rồi mày với tao biết bạn ấy xạo rồi"
"đroi ổng depzai s t chịu đc ae","đúng rồi ông ấy đẹp trai sao tao chịu được anh em"
"đrui e bít ms ns m đó tk ngốc","đúng rồi em biết mới nói mày đó thằng ngốc"
"VD ntn m lói rõ đi t chx hỉu","ví dụ như thế nào mày nói rõ đi tao chưa hiểu"
"nnao ms gọi là dth hở mn","như nào mới gọi là dễ thương hở mọi người"
"nnay thì t bùn lém đk m","như này thì tao buồn lắm đúng không mày"
"ntn r bả cs iu m nx ko","như thế nào rồi bạn ấy có yêu mày nữa không"
"z t vs m đi chs hnay đi","vậy tao với mày đi chơi hôm nay đi"
"v t zề trc m nha nngon","vậy tao về trước mày nha ngủ ngon"
"dậy th m nghỉ ngơi đi ksao","vậy thôi mày nghỉ ngơi đi không sao"
"hh m ns cừi wa t xỉu","haha mày nói cười quá tao xỉu"
"k t đéo bít m ơi ns lẹ","không tao không biết mày ơi nói lẹ"
"khum thik bả thì thui nhen","không thích bạn ấy thì thôi nhen"
"cmsn bả nha t rep ib trễ","chúc mừng sinh nhật bạn ấy nha tao trả lời nhắn tin trễ"
"cmnm mn nhìu SK zui vẻ nha","chúc mừng năm mới mọi người nhiều sức khỏe vui vẻ nha"
"sk này đg hot trên tt ae bít ch","sự kiện này đang hot trên Tiktok anh em biết chưa"
"BV đg đôg lém m từ từ hẵng zô","bệnh viện đang đông lắm mày từ từ hẵng vô"
"bcs hnay m mua chx z thg kia","bao cao su hôm nay mày mua chưa vậy thằng kia"
"hnay ae mik dạo phố ig ko","hôm nay anh em mình dạo phố Instagram không"
"hqua cno đi cf s ko rủ t","hôm qua chúng nó đi cf sao không rủ tao"
"cx mún off FB mà bận qá","cũng muốn ngoại tuyến Facebook mà bận quá"
"lói j ngta bít ròi ae ơi","nói gì người ta biết rồi anh em ơi"
"ns vs bả là t đg bùn nha","nói với bạn ấy là tao đang buồn nha"
"said m bùn lém đk m t bít mà","nói mày buồn lắm đúng không mày tao biết mà"
"unf r t đéo thik tk đó nx","hủy kết bạn rồi tao không thích thằng đó nữa"
"th ae giải tán nha t off fb","thôi anh em giải tán nha tao ngoại tuyến facebook"
"thoi t đg bận cj gọi rep sau","thôi tao đang bận chị gọi trả lời sau"
"thoai e xỉu bùn ngủ wa nngon nha","thôi em xỉu buồn ngủ quá ngủ ngon nha"
"típ ae ơi t chx mệt đg zui","tiếp anh em ơi tao chưa mệt đang vui"
"nx ko ae mxh đg hóng bả","nữa không anh em mạng xã hội đang hóng bạn ấy"
"bb ngoan hqua t ms bít ổng ctay","em bé ngoan hôm qua tao mới biết ông ấy chia tay"
"acc cno đg ol bthg trên tt","tài khoản chúng nó đang trực tuyến bình thường trên Tiktok"
"bl dạo bị bả chửi s z mn","bình luận dạo bị bạn ấy chửi sao vậy mọi người"
"klq nha nma bả dth qtqd","không liên quan nha nhưng mà bạn ấy dễ thương quá trời quá đất"
"nyc m ms kb vs t kìa","người yêu cũ mày mới kết bạn với tao kìa"
"cđm đg hít drama bả vs ổng","cộng đồng mạng đang hít drama bạn ấy với ông ấy"
"sr ae hnay t bận cv gđ","xin lỗi anh em hôm nay tao bận công việc gia đình"
"nym của ổng nhìn cx đzai phết","người yêu mới của ông ấy nhìn cũng đẹp trai phết"
"tks ck iu đã mua đth cho e","cảm ơn chồng yêu đã mua điện thoại cho em"
"ae bt tin j chx cđm đg rần rần","anh em biết tin gì chưa cộng đồng mạng đang rần rần"
"m sry bả chx lmj bả khok z","mày xin lỗi bạn ấy chưa làm gì bạn ấy khóc vậy"
"klq t đg bùn kb ns vs ai","không liên quan tao đang buồn không biết nói với ai"
"hqua nyc nt cho t ae ạ","hôm qua người yêu cũ nhắn tin cho tao anh em ạ"
"cv dạo này bận wa ko rep ib đc","công việc dạo này bận quá không trả lời nhắn tin được"
"gđ m đi chs zui vẻ nha","gia đình mày đi chơi vui vẻ nha"
"bả vs nym cbi ctay r ae","bạn ấy với người yêu mới chuẩn bị chia tay rồi anh em"
"tks mn nhìu nha e nhận đc r","cảm ơn mọi người nhiều nha em nhận được rồi"
"sr cj nay e onl hơi trễ","xin lỗi chị nay em trực tuyến hơi trễ"
"cđm đg chửi tk đó toxic lém","cộng đồng mạng đang chửi thằng đó tiêu cực lắm"
"m kb vs t trên xl đi","mày kết bạn với tao trên Zalo đi"
"đag đi cf vs nyc ngại qtqd","đang đi cf với người yêu cũ ngại quá trời quá đất"
"cv m dạo này ntn r ổn ko","công việc mày dạo này như thế nào rồi ổn không"
"gđ bả ms đi du lịch zề đk","gia đình bạn ấy mới đi du lịch về đúng không"
"klq nma ổng slay z ae","không liên quan nhưng mà ông ấy xuất sắc vậy anh em"
"nym bả nhìn cx bthg ksao đâu","người yêu mới bạn ấy nhìn cũng bình thường không sao đâu"
"ae tks t đi t ms mua đồ cho","anh em cảm ơn tao đi tao mới mua đồ cho"
"sr ck hnay vk đg mệt lém","xin lỗi chồng hôm nay vợ đang mệt lắm"
"cđm tag bả zô stt nhìu wa","cộng đồng mạng gắn thẻ bạn ấy vô trạng thái nhiều quá"
"bít in4 tk nyc bả chx ae","biết thông tin thằng người yêu cũ bạn ấy chưa anh em"
"t ms kb FB vs ổng hqua","tao mới kết bạn Facebook với ông ấy hôm qua"
"cv s r ae rảnh đi nhậu ko","công việc sao rồi anh em rảnh đi nhậu không"
"gđ ổng đag mún ổng zề quê","gia đình ông ấy đang muốn ông ấy về quê"
"klq hnay t đg mún đi ăn lẩu","không liên quan hôm nay tao đang muốn đi ăn lẩu"
"nyc bả đzai nma nết toxic vl","người yêu cũ bạn ấy đẹp trai nhưng mà nết tiêu cực vãi luyện"
"cđm khui ra fact r nha ae","cộng đồng mạng khui ra sự thật rồi nha anh em"
"tks b iu nhìu ae mik mtr nha","cảm ơn bạn yêu nhiều anh em mình mong trả nha"
"sr cno nay bận cv ko đi đc","xin lỗi chúng nó nay bận công việc không đi được"
"nym t nay bả mua đồ cho t","người yêu mới tao nay bạn ấy mua đồ cho tao"
"kb ig vs t đi ae fl chéo","kết bạn Instagram với tao đi anh em theo dõi chéo"
"cv m mệt ko t mua cf cho","công việc mày mệt không tao mua cf cho"
"gđ m hnay cs ở nhà ko m","gia đình mày hôm nay có ở nhà không mày"
"klq ms lướt tt thấy tk đzai qtqd","không liên quan mới lướt Tiktok thấy thằng đẹp trai quá trời quá đất"
"nyc t onl mà ko rep tn t","người yêu cũ tao trực tuyến mà không trả lời tin nhắn tao"
"cđm up ảnh fake dìm bả lém","cộng đồng mạng lên ảnh giả mạo dìm bạn ấy lắm"
"tks ae đã cmsn t hnay nha","cảm ơn anh em đã chúc mừng sinh nhật tao hôm nay nha"
"sr ní nay t bùn ngủ wa nngon nha","xin lỗi bạn nay tao buồn ngủ quá ngủ ngon nha"
"nym bả depzai s bằg ck t","người yêu mới bạn ấy đẹp trai sao bằng chồng tao"
"kb xl m r đó acp đi ae","kết bạn Zalo mày rồi đó đồng ý đi anh em"
"cv sml lun h ms đc nghỉ","công việc sấp mặt luôn giờ mới được nghỉ"
"gđ đg đi ăn r t ở nhà 1 mik","gia đình đang đi ăn rồi tao ở nhà một mình"
"klq t thik bài tus hqua bả đăng","không liên quan tao thích bài bài viết hôm qua bạn ấy đăng"
"nyc ổng ctay r h ổng đg độc thân","người yêu cũ ông ấy chia tay rồi giờ ông ấy đang độc thân"
"cđm soi kĩ wa làm bả flop lun","cộng đồng mạng soi kĩ quá làm bạn ấy mất tương tác luôn"
"tks a zì món wà hnay nha đtr wá","cảm ơn anh vì món quà hôm nay nha đẹp trai quá"
"sr ae ms lmj t off t chx hỉu","xin lỗi anh em mới làm gì tao ngoại tuyến tao chưa hiểu"
"nym t dth ae ko đc lói bả z","người yêu mới tao dễ thương anh em không được nói bạn ấy vậy"
"kb FB ae fl lẹ nha mxh đg hot","kết bạn Facebook anh em theo dõi lẹ nha mạng xã hội đang hot"
"cv bận qá chx cs tgian onl lun","công việc bận quá chưa có thời gian trực tuyến luôn"
"gđ qtrong lém nha m đừng cs giận","gia đình quan trọng lắm nha mày đừng có giận"
"klq t ms mua đth hnay mượt vch","không liên quan tao mới mua điện thoại hôm nay mượt vãi chưởng"
"nyc t nt hỏi cj t là s m","người yêu cũ tao nhắn tin hỏi chị tao là sao mày"
"cđm đg lùng in4 bả s r ae","cộng đồng mạng đang lùng thông tin bạn ấy sao rồi anh em"
"tks b nha t nhận đc rùi dthuongg lém","cảm ơn bạn nha tao nhận được rồi dễ thương lắm"
"sr e a đg bận cv xíu r nt sau","xin lỗi em anh đang bận công việc xíu rồi nhắn tin sau"
"nym t lms z s bùn zạy","người yêu mới tao làm sao vậy sao buồn vậy"
"kb ròi m vô rep t lẹ đi","kết bạn rồi mày vô trả lời tao lẹ đi"
"cv m ms lmj z m bít kq chx","công việc mày mới làm gì vậy mày biết kết quả chưa"
"gđ t ksao ae đừng lo qá nha","gia đình tao không sao anh em đừng lo quá nha"
"klq ai bt chỗ mua đth ms ko","không liên quan ai biết chỗ mua điện thoại mới không"
"nyc bả đag lmj z ae bít chx","người yêu cũ bạn ấy đang làm gì vậy anh em biết chưa"
"cđm nói j kệ ngta đi m bùn lmj","cộng đồng mạng nói gì kệ người ta đi mày buồn làm gì"
"tks ck iu hqua mua wà cho e nha","cảm ơn chồng yêu hôm qua mua quà cho em nha"
"sr ce hnay t đg bùn ko đi đc","xin lỗi chị em hôm nay tao đang buồn không đi được"
"nym bả nhìn hiền vs dth qtqd","người yêu mới bạn ấy nhìn hiền với dễ thương quá trời quá đất"
"kb xl ròi chx thấy ổng ib t","kết bạn Zalo rồi chưa thấy ông ấy nhắn tin tao"
"cv m cx bthg mà s m than lém z","công việc mày cũng bình thường mà sao mày than lắm vậy"
"gđ ổng hnay đi BV thăm ổng đk","gia đình ông ấy hôm nay đi bệnh viện thăm ông ấy đúng không"
"klq t thik stt bả ms up ghê","không liên quan tao thích trạng thái bạn ấy mới lên ghê"
"nyc ổng scam cno hqua r ae ơi","người yêu cũ ông ấy lừa gạt chúng nó hôm qua rồi anh em ơi"
"cđm đg otp ổng vs bả real wa chừng","cộng đồng mạng đang ghép cặp ông ấy với bạn ấy thật quá chừng"
"tks m đg bùn đc an ủi r nha","cảm ơn mày đang buồn được an ủi rồi nha"
"sr m nay t ns sai fact bả r","xin lỗi mày nay tao nói sai sự thật bạn ấy rồi"
"nym t fl bả trên ig đó m","người yêu mới tao theo dõi bạn ấy trên Instagram đó mày"
"kb cno zô group lẹ ae chém gió","kết bạn chúng nó vô group lẹ anh em chém gió"
"cv hnay ntn r ổn ko ae tui","công việc hôm nay như thế nào rồi ổn không anh em tui"
"gđ lms thế m ns t nghe vs","gia đình làm sao thế mày nói tao nghe với"
"klq nha tk kia depzai wa ae a","không liên quan nha thằng kia đẹp trai quá anh em a"
"nyc bả ms ctay r đg khok bùn","người yêu cũ bạn ấy mới chia tay rồi đang khóc buồn"
"cđm chửi j bả z m t chx bít","cộng đồng mạng chửi gì bạn ấy vậy mày tao chưa biết"
"tks t lẹ đi hqua t giúp m đk","cảm ơn tao lẹ đi hôm qua tao giúp mày đúng không"
"sr bả đi ae hqua bả khok r đó","xin lỗi bạn ấy đi anh em hôm qua bạn ấy khóc rồi đó"
"nym bả zui vẻ lém m ksao đâu","người yêu mới bạn ấy vui vẻ lắm mày không sao đâu"
"kb ig đi t fl lại cho m nha","kết bạn Instagram đi tao theo dõi lại cho mày nha"
"cv sml mệt qtqd h chx zề đc","công việc sấp mặt mệt quá trời quá đất giờ chưa về được"
"gđ qtr m phải nc đàng hoàng zô","gia đình quan trọng mày phải nói chuyện đàng hoàng vô"
"klq t đg bùn ngủ lém h ms lmj đc","không liên quan tao đang buồn ngủ lắm giờ mới làm gì được"
"nyc m nt t hwa ns lmj vs m","người yêu cũ mày nhắn tin tao hôm qua nói làm gì với mày"
"cđm soi lém bả up j cx bị lói","cộng đồng mạng soi lắm bạn ấy lên gì cũng bị nói"
"tks a hnay m đg mệt đc wà nha","cảm ơn anh hôm nay mày đang mệt được quà nha"
"sr e ck hnay bận cv wa nha e","xin lỗi em chồng hôm nay bận công việc quá nha em"
"nym m bthg mà đzai j đâu ta","người yêu mới mày bình thường mà đẹp trai gì đâu ta"
"kb fb ms ròi acp m lẹ đi ae","kết bạn facebook mới rồi đồng ý mày lẹ đi anh em"
"cv bận rộn tgian đâu đi cf z","công việc bận rộn thời gian đâu đi cf vậy"
"m lms z ae đg đợi nha","mày làm sao vậy anh em đang đợi nha"
"t thik đi cf vs ổng lém","tao thích đi cf với ông ấy lắm"
"tcn bả ko cs stt nào lun","trang cá nhân bạn ấy không có trạng thái nào luôn"
"sđt này của tk scam nha","số điện thoại này của thằng lừa gạt nha"
"mxh nay flop wa z ae","mạng xã hội nay mất tương tác quá vậy anh em"
"ib xl cho t hnay lẹ đi","nhắn tin Zalo cho tao hôm nay lẹ đi"
"dr m lói bả ms bít á","đúng rồi mày nói bạn ấy mới biết á"
"nngon ae t off đi ngủ r","ngủ ngon anh em tao ngoại tuyến đi ngủ rồi"
"bả đag khok bùn lém m ơi","bạn ấy đang khóc buồn lắm mày ơi"
"cđm đg tag ổng qtqd kìa","cộng đồng mạng đang gắn thẻ ông ấy quá trời quá đất kìa"
"klq t ms đc onl FB","không liên quan tao mới được trực tuyến Facebook"
"kb mxh vs t lẹ nha ní","kết bạn mạng xã hội với tao lẹ nha bạn"
"cv ổn ko m dạo này s r","công việc ổn không mày dạo này sao rồi"
"gđ bả ms đi chs zề ae ạ","gia đình bạn ấy mới đi chơi về anh em ạ"
"nyc m rep tn chx z","người yêu cũ mày trả lời tin nhắn chưa vậy"
"nym ổng nhìn slay wá ta","người yêu mới ông ấy nhìn xuất sắc quá ta"
"tks m nha wà dth lém á","cảm ơn mày nha quà dễ thương lắm á"
"sr t chx xem ytb hnay nha","xin lỗi tao chưa xem YouTube hôm nay nha"
"a iu t đg lmj z a","anh yêu tao đang làm gì vậy anh"
"cj ơi ổng thả thính bả đk","chị ơi ông ấy thả thính bạn ấy đúng không"
"ce mik onl mua sắm đi cj","chị em mình trực tuyến mua sắm đi chị"
"cno ctay hqua r ae bít ko","chúng nó chia tay hôm qua rồi anh em biết không"
"đr t cũg thik đi chs vs ae","đúng rồi tao cũng thích đi chơi với anh em"
"qtrong là ổng đg lmj z","quan trọng là ông ấy đang làm gì vậy"
"bả khok sưng mắt hqua m ơi","bạn ấy khóc sưng mắt hôm qua mày ơi"
"sk sắp tới ae đi ko z","sự kiện sắp tới anh em đi không vậy"
"t đéo thik tk toxic đó xíu nào","tao không thích thằng tiêu cực đó xíu nào"
"kr của t bả ms là ng sai m ạ","ý kiến riêng của tao bạn ấy mới là người sai mày ạ"
"mxh hnay bthg lém ksao đâu","mạng xã hội hôm nay bình thường lắm không sao đâu"
"ổng ms cmt stt bả hwa nha","ông ấy mới bình luận trạng thái bạn ấy hôm qua nha"
"mún mua đth thì kb vs t lẹ","muốn mua điện thoại thì kết bạn với tao lẹ"
"tcn flop wa t mún khok lun","trang cá nhân mất tương tác quá tao muốn khóc luôn"
"m sr ngta chx mà lói z","mày xin lỗi người ta chưa mà nói vậy"
"bả dthuongg mà nết kì z tr","bạn ấy dễ thương mà nết kì vậy trời"
"ck ơi ck đag lmj đó rep e","chồng ơi chồng đang làm gì đó trả lời em"
"bả ms tks mn trên FB r","bạn ấy mới cảm ơn mọi người trên Facebook rồi"
"ae mún cf thì ib lẹ nha","anh em muốn cf thì nhắn tin lẹ nha"
"hnay t bận vc qtr ae đi trc","hôm nay tao bận việc quan trọng anh em đi trước"
"ig sập r ae ơi ko zô đc nx","Instagram sập rồi anh em ơi không vô được nữa"
"bả ms up tus bóc fact ổng kìa","bạn ấy mới lên bài viết bóc sự thật ông ấy kìa"
"same t cx ghét tk đó kinh","giống tao cũng ghét thằng đó kinh"
"bả mặc váy này slay qtqd ae ơii","bạn ấy mặc váy này xuất sắc quá trời quá đất anh em ơii"
"cno scam nym bả đó m kíu bả","chúng nó lừa gạt người yêu mới bạn ấy đó mày cứu bạn ấy"
"t chx kb fb ổng ae có link k","tao chưa kết bạn facebook ông ấy anh em có link không"
"t đg onl xl m ib t nha m","tao đang trực tuyến Zalo mày nhắn tin tao nha mày"
"mxh hnay nhìu drama wa m ạ","mạng xã hội hôm nay nhiều drama quá mày ạ"
"bả mún mua bcs cj ơi kkk","bạn ấy muốn mua bao cao su chị ơi cười"
"ổng dth mà nết bthg thoi m ơi","ông ấy dễ thương mà nết bình thường thôi mày ơi"
"sr ae nay t mệt t off trc nha","xin lỗi anh em nay tao mệt tao ngoại tuyến trước nha"
"cv hnay ntn ổn ko m kể t nghe","công việc hôm nay như thế nào ổn không mày kể tao nghe"
"gđ ổng đag ở BV đó ae wa đi","gia đình ông ấy đang ở bệnh viện đó anh em qua đi"
"t thik ng dth ko thik ng đzai","tao thích người dễ thương không thích người đẹp trai"
"thoi t ko rep ổng nx mệt wa","thôi tao không trả lời ông ấy nữa mệt quá"
"alo m đg ở đâu r mh zề tới","xin chào mày đang ở đâu rồi mấy giờ về tới"
"thg đó m bít lmj ko kể t bít","thằng đó mày biết làm gì không kể tao biết"
"cr ms unf FB t r ae kíu t vs","người mình thích mới hủy kết bạn Facebook tao rồi anh em cứu tao với"
"cmnm mn nha zui vẻ hp bên gđ","chúc mừng năm mới mọi người nha vui vẻ hạnh phúc bên gia đình"
"cmsn ní nha t bận cv qá ksao đk","chúc mừng sinh nhật bạn nha tao bận công việc quá không sao đúng không"
"tks b bả cx ms đi chs vs t nay","cảm ơn bạn bạn ấy cũng mới đi chơi với tao nay"
"m bùn m khok lms t dỗ đc m","mày buồn mày khóc làm sao tao dỗ được mày"
"nngon nha vk iu của a cbi ngủ r","ngủ ngon nha vợ yêu của anh chuẩn bị ngủ rồi"
"cno rủ đi chs ae mún lmj hnay","chúng nó rủ đi chơi anh em muốn làm gì hôm nay"
"otp t nay đg đi cf ae bít ko","ghép cặp tao nay đang đi cf anh em biết không"
"bả vs tk kia real qtqd ae ạ","bạn ấy với thằng kia thật quá trời quá đất anh em ạ"
"bả ct ổng r đg bùn khok qá tr","bạn ấy chia tay ông ấy rồi đang buồn khóc quá trời"
"nyc t ms up avt ms dth xỉu","người yêu cũ tao mới lên ảnh đại diện mới dễ thương xỉu"
"m ms mua đth ms hả s mượt z t","mày mới mua điện thoại mới hả sao mượt vậy tao"
"đk ổng ms lói z vs t xog m ơi","đúng không ông ấy mới nói vậy với tao xong mày ơi"
"hnay t zui lém t đc wà nha ae","hôm nay tao vui lắm tao được quà nha anh em"
"klq s ổng đzai z ae bít in4 k","không liên quan sao ông ấy đẹp trai vậy anh em biết thông tin không"
"tks m rep t nha t đg gấp rút","cảm ơn mày trả lời tao nha tao đang gấp rút"
"ig t chx cs fl nào bùn lém m","Instagram tao chưa có theo dõi nào buồn lắm mày"
"bả ms ns j m hỉu ko t chx hỉu","bạn ấy mới nói gì mày hiểu không tao chưa hiểu"
"tgian chán ko mún rep ib nữa ae","thời gian chán không muốn trả lời nhắn tin nữa anh em"
"ksao m cs bả lo r m bùn lmj","không sao mày có bạn ấy lo rồi mày buồn làm gì"
"VD bả mún ct m chịu ko hay lms","ví dụ bạn ấy muốn chia tay mày chịu không hay làm sao"
"bả đag zui ko mún lmj nx m ơi","bạn ấy đang vui không muốn làm gì nữa mày ơi"
"cno lên ytb coi ko rủ t đi cug","chúng nó lên YouTube coi không rủ tao đi cùng"
"cđm đg ném đá stt tk đó ghê z","cộng đồng mạng đang ném đá trạng thái thằng đó ghê vậy"
"nym ổng đg ở vs ổng m ơi bít chx","người yêu mới ông ấy đang ở với ông ấy mày ơi biết chưa"
"t ms kb FB ổng xog hwa ae à","tao mới kết bạn Facebook ông ấy xong hôm qua anh em à"
"cv m lms mệt ko ní kể t","công việc mày làm sao mệt không bạn kể tao"
"gđ m cs bít m ct ổng chx bả","gia đình mày có biết mày chia tay ông ấy chưa bạn ấy"
"sr t ms ngủ dậy chx onl đc lẹ","xin lỗi tao mới ngủ dậy chưa trực tuyến được lẹ"
"qtr là bả bít m đéo iu bả nx","quan trọng là bạn ấy biết mày không yêu bạn ấy nữa"
"mxh hnay bthg ae ơi ks đâu m","mạng xã hội hôm nay bình thường anh em ơi không sao đâu mày"
"tk scam ms tag t zô tus kìa m","thằng lừa gạt mới gắn thẻ tao vô bài viết kìa mày"
"tks mn đã cmt nha ae iu mn","cảm ơn mọi người đã bình luận nha anh em yêu mọi người"
"same m ơi t cx bùn y chang m","giống mày ơi tao cũng buồn y chang mày"
"ổng ns vs bả là iu bả lém đk","ông ấy nói với bạn ấy là yêu bạn ấy lắm đúng không"
"m đg lms z t wa rước m đi cf","mày đang làm sao vậy tao qua rước mày đi cf"
"th m đg mệt thì off đi ksao đâu","thôi mày đang mệt thì ngoại tuyến đi không sao đâu"
"cđm mún fl ig bả lém đk m","cộng đồng mạng muốn theo dõi Instagram bạn ấy lắm đúng không mày"
"kb bả chx bả đg onl xl đó m lẹ","kết bạn bạn ấy chưa bạn ấy đang trực tuyến Zalo đó mày lẹ"
"tk nyc bả đzai nma nghèo qá m","thằng người yêu cũ bạn ấy đẹp trai nhưng mà nghèo quá mày"
"nym ổng dth wa hqua t bít r m","người yêu mới ông ấy dễ thương quá hôm qua tao biết rồi mày"
"m lmj tk đó mà ổng khok z lói đi","mày làm gì thằng đó mà ông ấy khóc vậy nói đi"
"bả vs ổng là ae bthg th ae bít r","bạn ấy với ông ấy là anh em bình thường thôi anh em biết rồi"
"cno mún m ib ổng á m rảnh k","chúng nó muốn mày nhắn tin ông ấy á mày rảnh không"
"hnay sk mxh đg flop qtqd lun m","hôm nay sự kiện mạng xã hội đang mất tương tác quá trời quá đất luôn mày"
"alo ae mxh hnay cs j hot ko","xin chào anh em mạng xã hội hôm nay có gì hot không"
"bả ms đc ổng cõng đi BV nha","bạn ấy mới được ông ấy cõng đi bệnh viện nha"
"tks ck ms mua đth cho e","cảm ơn chồng mới mua điện thoại cho em"
"cv bùn chán wa mún nghỉ ghê","công việc buồn chán quá muốn nghỉ ghê"
"gđ ổng đg ở quê lên đk m","gia đình ông ấy đang ở quê lên đúng không mày"
"klq nha bả đzai nma nghèo qá","không liên quan nha bạn ấy đẹp trai nhưng mà nghèo quá"
"nyc nt t bít lms bh","người yêu cũ nhắn tin tao biết làm sao bây giờ"
"cđm lùng ra in4 ổng r ae","cộng đồng mạng lùng ra thông tin ông ấy rồi anh em"
"nym m dth s chịu nổi ae","người yêu mới mày dễ thương sao chịu nổi anh em"
"kb ig đi t fl lại lẹ lun","kết bạn Instagram đi tao theo dõi lại lẹ luôn"
"sr a e ms onl nãy h bận","xin lỗi anh em mới trực tuyến nãy giờ bận"
"t cnay chx lmj đg bùn ngủ lém","tao chiều nay chưa làm gì đang buồn ngủ lắm"
"đr m bả nói thik tk đó r","đúng rồi mày bạn ấy nói thích thằng đó rồi"
"mh m ms đi ăn z đg đói nè","mấy giờ mày mới đi ăn vậy đang đói này"
"thik bả lâu r mà ko bít ns","thích bạn ấy lâu rồi mà không biết nói"
"bthg thoi ksao đâu t lo đc","bình thường thôi không sao đâu tao lo được"
"đc r m đợi t xíu t qa","được rồi mày đợi tao xíu tao qua"
"ừm m đi cẩn thận nha nngon","ừm mày đi cẩn thận nha ngủ ngon"
"uk t onl r m ns típ đi","ừ tao trực tuyến rồi mày nói tiếp đi"
"um acp xl bả đi bả đg bùn","ừm đồng ý Zalo bạn ấy đi bạn ấy đang buồn"
