,text,target,loss_by_words,loss_by_sentences,max_word_loss
4732,em năm nay 25t hiện đg nợ khoảng 70 tr cả tiền nh và app đen nh em nợ fe momo app đen nợ cây vàng monveo vnd,em năm nay 25 tuổi hiện đang nợ khoảng 70 triệu cả tiền ngân hàng và app đen ngân hàng em nợ FE MoMo app đen nợ cây vàng monveo vnd,"<s>: 0.0148, ▁em: 0.1322, ▁năm: 0.0137, ▁nay: 0.0272, ▁25: 0.0024, ▁tuổi: 0.0464, ▁hiện: 0.1142, ▁đang: 0.0353, ▁nợ: 0.0042, ▁khoảng: 0.0459, ▁70: 0.0066, ▁triệu: 1.2675, ▁cả: 0.0835, ▁tiền: 0.0297, ▁ngân: 8.9424, ▁hàng: 0.0227, ▁và: 0.1788, ▁app: 0.0181, ▁đen: 0.0187, ▁ngân: 10.2253, ▁hàng: 0.0119, ▁em: 2.5049, ▁nợ: 0.0017, ▁FE: 9.3257, ▁Mo: 7.814, Mo: 2.0143, ▁app: 0.0253, ▁đen: 0.0116, ▁nợ: 0.006, ▁cây: 0.0033, ▁vàng: 0.0019, ▁mon: 0.011, ve: 0.003, o: 0.0149, ▁v: 0.3201, nd: 0.6004, </s>: 0.0777",1.1886,10.2253
806,5lit vào ziệc,5 lít vào việc,"<s>: 0.0157, ▁5: 0.0334, ▁lí: 8.1495, t: 0.0282, ▁vào: 0.0185, ▁việc: 0.0135, </s>: 0.0556",1.1878,8.1495
8348,Thấy thw z chèn,Thấy thương vậy trời,"<s>: 0.0156, ▁Th: 0.0179, ấ: 0.0118, y: 0.0392, ▁thương: 0.0167, ▁vậy: 1.2876, ▁trời: 7.8867, </s>: 0.2232",1.1874,7.8867
1356,Ng tội nhất là th H,Người tội nhất là thằng Hiếu,"<s>: 0.0161, ▁Người: 0.0607, ▁tội: 0.0146, ▁nhất: 0.0295, ▁là: 0.0905, ▁thằng: 0.757, ▁Hi: 7.5078, ếu: 2.0917, </s>: 0.1057",1.1859,7.5078
8640,Diển viên z chắc cx okla nhỉ,Diễn viên thế chắc cũng ok nhỉ,"<s>: 0.0172, ▁Diễn: 9.8248, ▁viên: 0.011, ▁thế: 0.4773, ▁chắc: 0.0109, ▁cũng: 0.1165, ▁ok: 0.0973, ▁nhỉ: 0.0098, </s>: 0.0785",1.1826,9.8248
7275,em xin noti tối xem ạk,em xin notification tối xem ạ,"<s>: 0.0149, ▁em: 0.1376, ▁xin: 0.0201, ▁notification: 9.1286, ▁tối: 0.0157, ▁xem: 0.0298, ▁ạ: 0.0125, </s>: 0.0877",1.1809,9.1286
4705,Cs tuyển part time khong ạk,Có tuyển part-time không ạ,"<s>: 0.0153, ▁Có: 0.0397, ▁tuyển: 0.0119, ▁part: 0.0008, -: 7.2002, time: 3.1842, ▁không: 0.0395, ▁ạ: 0.0371, </s>: 0.0817",1.1789,7.2002
8235,đọc bl mak thấy ngu tht sự😀,đọc bình luận mà thấy ngu thật sự😀,"<s>: 0.0139, ▁đọc: 0.0202, ▁bình: 7.3654, ▁luận: 5.2913, ▁mà: 0.0516, ▁thấy: 0.0393, ▁ngu: 0.0013, ▁thật: 0.0285, ▁sự: 0.0229, <unk>: 0.0627, </s>: 0.0661",1.1785,7.3654
6927,"Zạ chuyện hài hước qá, cj cho em chia sẻ lên newfeed nhé","Dạ chuyện hài hước quá, chị cho em chia sẻ lên news feed nhé","<s>: 0.0163, ▁Dạ: 0.0442, ▁chuyện: 0.0174, ▁hài: 0.001, ▁h: 0.017, ước: 0.0115, ▁quá: 0.0145, ,: 0.0848, ▁chị: 0.0341, ▁cho: 0.0509, ▁em: 0.0781, ▁chia: 0.0263, ▁sẻ: 0.029, ▁lên: 0.0631, ▁news: 15.1793, ▁feed: 5.46, ▁nhé: 0.0122, </s>: 0.0657",1.1781,15.1793
5661,Hoàng Đạo Thuý - Thanh Xuân nka e,Hoàng Đạo Thúy - Thanh Xuân nha em,"<s>: 0.0161, ▁Hoàng: 0.0085, ▁Đạo: 0.0088, ▁Thú: 10.4597, y: 2.2229, ▁-: 0.051, ▁Thanh: 0.0162, ▁Xuân: 0.002, ▁nha: 0.0193, ▁em: 0.0518, </s>: 0.0711",1.1752,10.4597
1720,Tất cả chỉ là hỉu lầmmm,Tất cả chỉ là hiểu lầm,"<s>: 0.0156, ▁Tất: 0.0058, ▁cả: 0.0373, ▁chỉ: 0.0616, ▁là: 0.0692, ▁hiểu: 9.1218, ▁lầm: 0.0032, </s>: 0.0846",1.1749,9.1218
6194,"Em cứ mạnh dạng apply ik, cs tiếng Ah, ngoại ngữ thêm chút cố gắng và mạnh dạng nx sẽ dc th.","Em cứ mạnh dạn apply đi, có tiếng Anh, ngoại ngữ thêm chút cố gắng và mạnh dạn nữa sẽ được thôi.","<s>: 0.0137, ▁Em: 0.0776, ▁cứ: 0.012, ▁mạnh: 0.0098, ▁dạ: 13.5374, n: 6.2992, ▁apply: 0.0126, ▁đi: 0.0345, ,: 0.0837, ▁có: 0.0926, ▁tiếng: 0.0113, ▁Anh: 0.019, ,: 0.1093, ▁ngoại: 0.0159, ▁ngữ: 0.0481, ▁thêm: 0.0055, ▁chút: 0.01, ▁cố: 0.0047, ▁gắng: 0.0062, ▁và: 0.1, ▁mạnh: 0.0079, ▁dạ: 12.3411, n: 0.4595, ▁nữa: 0.3037, ▁sẽ: 0.0829, ▁được: 0.0913, ▁thôi: 0.0118, .: 0.0946, </s>: 0.0526",1.1706,13.5374
3613,b cs ik ăn ở ô chợ dừa thì kphai hàng của cô.Hàng đók là do cô nghỉ chăm ck,bạn có đi ăn ở Ô Chợ Dừa thì không phải hàng của cô. Hàng đó là do cô nghỉ chăm chồng,"<s>: 0.014, ▁bạn: 0.0764, ▁có: 0.1181, ▁đi: 0.0532, ▁ăn: 0.0471, ▁ở: 0.0442, ▁Ô: 6.0995, ▁Ch: 8.8678, ợ: 1.2152, ▁D: 4.3418, ừ: 0.4221, a: 0.15, ▁thì: 0.0208, ▁không: 0.0579, ▁phải: 0.0328, ▁hàng: 0.0683, ▁của: 0.1086, ▁cô: 0.0957, .: 0.0784, ▁Hàng: 10.4695, ▁đó: 0.0672, ▁là: 0.076, ▁do: 0.0365, ▁cô: 0.0719, ▁nghỉ: 0.0069, ▁chăm: 0.0032, ▁chồng: 0.0106, </s>: 0.1171",1.1704,10.4695
5342,T cug 29 mất 1ty2 đg nợ laii 700tr mệt zô cùng.,Tôi cũng 29 mất 1 tỷ 2 đang nợ lại 700 triệu mệt vô cùng.,"<s>: 0.0154, ▁Tôi: 0.1638, ▁cũng: 0.1116, ▁29: 0.0032, ▁mất: 0.015, ▁1: 0.1048, ▁tỷ: 9.6115, ▁2: 0.2417, ▁đang: 0.2474, ▁nợ: 0.005, ▁lại: 9.6825, ▁700: 0.0046, ▁triệu: 0.6452, ▁mệt: 0.0018, ▁vô: 0.0139, ▁cùng: 0.0104, .: 0.0911, </s>: 0.0685",1.1687,9.6825
8990,VCL CÚ SỐC NGAY KHI VỀ NHÀ AS ĐÙ,VÃI CẢ LỒN CÚ SỐC NGAY KHI VỀ NHÀ A ĐÙ,"<s>: 0.0144, ▁V: 0.0336, Ã: 6.5946, I: 0.4038, ▁C: 0.2329, Ả: 7.1853, ▁L: 4.668, Ồ: 4.2079, N: 0.5229, ▁C: 0.21, Ú: 0.0277, ▁S: 0.0604, Ố: 0.0037, C: 0.0601, ▁N: 0.0863, GAY: 0.0021, ▁K: 0.2041, HI: 0.009, ▁VỀ: 0.0151, ▁NHÀ: 0.008, ▁A: 3.3891, ▁Đ: 0.0403, Ù: 0.0113, </s>: 0.0445",1.1681,7.1853
2604,Đág eo v mng ơi??,Đáng yêu vậy mọi người ơi??,"<s>: 0.0156, ▁Đá: 0.0018, ng: 0.4875, ▁yêu: 10.8217, ▁vậy: 0.0633, ▁mọi: 0.0268, ▁người: 0.101, ▁ơi: 0.0356, <unk>: 0.0283, </s>: 0.0637",1.1645,10.8217
9263,chà mơ tệ vại s🫂,chà mơ tệ vậy sao 🫂,"<s>: 0.016, ▁chà: 0.0099, ▁mơ: 0.0075, ▁tệ: 0.0256, ▁vậy: 2.8077, ▁sao: 0.1369, ▁: 7.3087, <unk>: 0.0958, </s>: 0.071",1.1644,7.3087
8282,"VL CHÚG M ƠI CÍU TAO LMS TỎ TÌNH CRUSH MAK KH NS LÀ : ""EM THIK AH""/""LÀM NY EM NHÉ"" Z??","VÃI LỒN CHÚNG MÀY ƠI CỨU TAO LÀM SAO TỎ TÌNH CRUSH MÀ KHÔNG NÓI LÀ : ""EM THÍCH ANH""/""LÀM NGƯỜI YÊU EM NHÉ"" THẾ??","<s>: 0.0157, ▁V: 0.7864, Ã: 5.0271, I: 0.3155, ▁L: 3.8716, Ồ: 4.1636, N: 0.4045, ▁CH: 0.092, Ú: 0.0171, NG: 1.2542, ▁M: 0.3626, À: 1.5928, Y: 3.7707, ▁: 0.347, Ơ: 0.0041, I: 0.0356, ▁C: 0.0717, Ứ: 3.8795, U: 0.1822, ▁TA: 0.0189, O: 0.0189, ▁L: 0.0735, À: 2.424, M: 4.8456, ▁SA: 8.5461, O: 0.0712, ▁T: 0.0406, Ỏ: 0.0048, ▁T: 0.0244, Ì: 0.004, NH: 0.0028, ▁C: 0.1687, RUS: 0.002, H: 0.0415, ▁M: 3.143, À: 0.3667, ▁KHÔNG: 0.1967, ▁N: 2.8255, Ó: 2.7482, I: 0.278, ▁L: 0.4822, À: 0.0073, ▁:: 0.1098, ▁"": 0.0325, EM: 0.0063, ▁TH: 0.0273, ÍCH: 1.2552, ▁A: 1.9068, NH: 6.2224, "": 0.0657, /: 0.0103, "": 0.0335, L: 0.0466, À: 0.0046, M: 0.0352, ▁NGƯỜI: 2.2749, ▁Y: 0.1954, Ê: 0.0241, U: 0.0315, ▁EM: 0.8237, ▁NH: 0.0148, É: 0.0044, "": 0.0346, </s>: 8.7452",1.163,8.7452
84,Nghĩ shao mấy ng này cs fan này nok,Nghĩ sao mấy người này có fan này nọ,"<s>: 0.0153, ▁Ngh: 0.0067, ĩ: 0.0929, ▁sao: 0.002, ▁mấy: 0.0051, ▁người: 0.0652, ▁này: 0.026, ▁có: 0.0802, ▁fan: 0.0039, ▁này: 0.0381, ▁n: 11.9682, ọ: 2.3133, </s>: 0.4934",1.1623,11.9682
9045,Lên bài típ ik bà,Lên bài tiếp đi bà,"<s>: 0.0142, ▁Lê: 0.0059, n: 0.1483, ▁bài: 0.017, ▁tiếp: 8.9726, ▁đi: 0.0304, ▁bà: 0.0245, </s>: 0.0706",1.1604,8.9726
3656,Xin info set áo dài và khăn ik bà,Xin thông tin set áo dài và khăn đi bà,"<s>: 0.014, ▁Xin: 0.0185, ▁thông: 13.5041, ▁tin: 0.0983, ▁set: 0.0017, ▁áo: 0.0101, ▁dài: 0.0032, ▁và: 0.1291, ▁khăn: 0.0018, ▁đi: 0.0297, ▁bà: 0.0294, </s>: 0.0843",1.1603,13.5041
8572,t6 này gặp rùi màk cn ms ht chắc tui khók lun 💔👈🏿,Thứ 6 này gặp rồi mà Chủ Nhật mới hết chắc tui khóc luôn 💔👈🏿,"<s>: 0.0145, ▁Thứ: 6.3292, ▁6: 0.2335, ▁này: 0.0203, ▁gặp: 0.0165, ▁rồi: 0.0411, ▁mà: 0.0962, ▁Chủ: 10.0005, ▁Nhật: 5.3639, ▁mới: 0.2781, ▁hết: 0.0508, ▁chắc: 0.0061, ▁tui: 0.2657, ▁khóc: 0.1209, ▁luôn: 0.0573, ▁: 0.0821, <unk>: 0.0633, <unk>: 0.0521, <unk>: 0.0466, </s>: 0.0332",1.1586,10.0005
3907,1 c mằm ngửa bên cạnh và 1 cn nằm dưới chân =))))))))))))) k cn nào lm phiền c nào gất iêu,một con nằm ngửa bên cạnh và một con nằm dưới chân =))))))))))))) không con nào làm phiền con nào rất yêu,"<s>: 0.0144, ▁một: 5.7989, ▁con: 0.0622, ▁nằm: 6.0306, ▁ng: 0.0864, ử: 0.0211, a: 0.0132, ▁bên: 0.0428, ▁cạnh: 0.0353, ▁và: 0.0682, ▁một: 3.6718, ▁con: 0.0319, ▁nằm: 0.0074, ▁dưới: 0.0105, ▁chân: 0.0066, ▁=): 0.0016, <unk>: 0.0435, <unk>: 0.1193, ▁không: 0.0622, ▁con: 0.1176, ▁nào: 0.0213, ▁làm: 0.0239, ▁phiền: 0.001, ▁con: 0.2251, ▁nào: 0.0174, ▁rất: 8.8441, ▁yêu: 6.8396, </s>: 0.1689",1.1567,8.8441
3612,Ờm thì:))))Quán miến trộn hiền béo h chuyển qua khâm thiên r,Ờm thì:)))) Quán miến trộn hiền béo giờ chuyển qua Khâm Thiên rồi,"<s>: 0.0185, ▁: 0.0895, Ờ: 0.0034, m: 0.1356, ▁thì: 0.0631, :: 0.0468, <unk>: 0.1083, ▁Quá: 8.809, n: 7.5355, ▁mi: 0.0608, ến: 0.0404, ▁trộn: 0.0004, ▁h: 0.0635, iền: 0.0329, ▁béo: 0.0013, ▁giờ: 0.0552, ▁chuyển: 0.0079, ▁qua: 0.0634, ▁Kh: 5.7261, âm: 0.0015, ▁Thiên: 3.6411, ▁rồi: 0.0142, </s>: 0.0666",1.1559,8.809
351,Hnhu cs xe khách cấm ng ct nyc 5 năm hsy,Hình như có xe khách cấm người chia tay người yêu cũ 5 năm hay sao ý,"<s>: 0.0168, ▁Hình: 0.0456, ▁như: 0.0074, ▁có: 0.1066, ▁xe: 0.0267, ▁khách: 0.0048, ▁cấm: 0.0129, ▁người: 0.077, ▁chia: 0.2059, ▁tay: 0.0161, ▁người: 0.0088, ▁yêu: 1.3523, ▁cũ: 0.1079, ▁5: 0.05, ▁năm: 0.0168, ▁hay: 11.0543, ▁sao: 0.0521, ▁ý: 8.7068, </s>: 0.0565",1.154,11.0543
8877,Hỗ trợ giá như dzới nc nka bà lô,Hỗ trợ giá như với nước nha bà Lô,"<s>: 0.0139, ▁Hỗ: 0.0477, ▁trợ: 0.0196, ▁giá: 0.0354, ▁như: 0.1034, ▁với: 0.1873, ▁nước: 0.0225, ▁nha: 0.0805, ▁bà: 0.0224, ▁L: 10.5089, ô: 2.6599, </s>: 0.0923",1.1495,10.5089
648,"Suộc nét căng zậy lun, má ơi ảnh đtrai","Source nét căng vậy luôn, má ơi ảnh đẹp trai","<s>: 0.0154, ▁Source: 13.7507, ▁nét: 0.0027, ▁căng: 0.0002, ▁vậy: 0.1528, ▁luôn: 0.0413, ,: 0.1509, ▁má: 0.0025, ▁ơi: 0.0349, ▁ảnh: 0.3048, ▁đẹp: 0.4051, ▁trai: 0.0023, </s>: 0.0551",1.1476,13.7507
9049,"Vl, nạp vip ak","Vãi lồn, nạp VIP à","<s>: 0.0151, ▁V: 0.2505, ã: 2.1168, i: 0.0565, ▁lồ: 0.0543, n: 0.0688, ,: 0.1575, ▁nạ: 0.0009, p: 0.0119, ▁VIP: 10.6882, ▁à: 0.2682, </s>: 0.0717",1.1467,10.6882
5329,b ơi m liều vay c áp cây vàng ở đây đc 500k vs c monveo đc 1 củ cs xù dc k ạk,bạn ơi mình liều vay con app cây vàng ở đây được 500k với con Moneveo được 1 củ có xù được không ạ,"<s>: 0.0163, ▁bạn: 0.0734, ▁ơi: 0.0155, ▁mình: 1.079, ▁l: 0.0306, iều: 0.0035, ▁vay: 0.016, ▁con: 0.3472, ▁app: 14.3143, ▁cây: 0.0068, ▁vàng: 0.0031, ▁ở: 0.0556, ▁đây: 0.0317, ▁được: 0.0512, ▁500: 0.0105, k: 0.0599, ▁với: 0.0827, ▁con: 0.0733, ▁Mon: 5.4811, eve: 13.0155, o: 0.0991, ▁được: 0.0437, ▁1: 0.0654, ▁củ: 0.0013, ▁có: 0.1149, ▁x: 0.163, ù: 0.0052, ▁được: 0.0772, ▁không: 0.0875, ▁ạ: 0.0237, </s>: 0.0933",1.1465,14.3143
5083,Nam Mô Đại Nguyên Địa Tạng Vương Bồ Tát 🙏🏻🙏🏻🙏🏻,Nam Mô Đại Nguyện Địa Tạng Vương Bồ Tát 🙏🏻🙏🏻🙏🏻,"<s>: 0.0148, ▁Nam: 0.0131, ▁Mô: 0.0054, ▁Đại: 0.0029, ▁Ngu: 13.4602, y: 2.5688, ệ: 9.27, n: 0.1063, ▁Địa: 0.0625, ▁T: 0.0588, ạ: 0.0751, ng: 0.0222, ▁Vương: 0.0021, ▁Bồ: 0.0052, ▁Tá: 0.0095, t: 0.0333, ▁: 0.0929, <unk>: 0.0537, <unk>: 0.0516, <unk>: 0.048, <unk>: 0.0411, <unk>: 0.0684, <unk>: 1.3401, </s>: 0.097",1.146,13.4602
4164,sinh mổ 20tr TMW Quân đội 108: 22-31tr sinh thg sinh mổ 38-54tr Thu Cúc: sinh thg 21-42 triệu sinh mổ 39 8-80tr Tâm Ank: sinh thg 22 6-41 triệu,sinh mổ 20 triệu Trung Ương Quân đội 108: 22-31 triệu sinh thường sinh mổ 38-54 triệu Thu Cúc: sinh thường 21-42 triệu sinh mổ 39.8-80 triệu Tâm Anh: sinh thường 22.6-41 triệu,"<s>: 0.0166, ▁sinh: 0.0198, ▁m: 0.0927, ổ: 0.0408, ▁20: 0.0073, ▁triệu: 0.2088, ▁Trung: 0.9699, ▁: 5.7431, Ư: 0.4901, ơ: 0.0568, ng: 0.0494, ▁Quân: 0.5665, ▁đội: 0.0541, ▁108: 0.0008, :: 0.0509, ▁22: 0.0055, -31: 0.0648, ▁triệu: 0.2368, ▁sinh: 0.0187, ▁thường: 0.0937, ▁sinh: 0.0224, ▁m: 0.0503, ổ: 0.0738, ▁38: 0.0028, -: 0.0431, 54: 0.0027, ▁triệu: 0.1354, ▁Thu: 0.0093, ▁C: 0.0763, úc: 0.0012, :: 0.0449, ▁sinh: 0.0078, ▁thường: 0.05, ▁21: 0.0084, -42: 0.0074, ▁triệu: 0.0016, ▁sinh: 0.0081, ▁m: 0.0255, ổ: 0.0599, ▁39: 0.002, .: 14.4118, 8: 6.4307, -80: 0.0208, ▁triệu: 0.6206, ▁Tâm: 0.0008, ▁Anh: 1.2247, :: 0.0234, ▁sinh: 0.0084, ▁thường: 0.0588, ▁22.: 9.759, 6-4: 8.1883, 1: 11.5848, ▁triệu: 0.002, </s>: 0.1064",1.1456,14.4118
5487,Vào đòi nợ màk giống cái rhs day2 chú Pháp nka Kiều🤣 triển vọng lắm đấy,Vào đòi nợ mà giống cái rehearsal day 2 chú Pháp nha Kiều🤣 triển vọng lắm đấy,"<s>: 0.0148, ▁Và: 0.0034, o: 0.0578, ▁đòi: 0.0011, ▁nợ: 0.0036, ▁mà: 0.0882, ▁giống: 0.0155, ▁cái: 0.0232, ▁re: 12.6406, hear: 4.7165, sal: 5.5806, ▁day: 0.0021, ▁2: 2.1699, ▁chú: 0.0101, ▁Pháp: 0.0057, ▁nha: 0.0114, ▁Kiều: 0.0004, <unk>: 0.8483, ▁triển: 0.002, ▁vọng: 0.0078, ▁lắm: 0.0216, ▁đấy: 0.0037, </s>: 0.0592",1.1429,12.6406
8823,Thử mak 30 phút ik là lên ns ảnh ysl rùi,Thử mà 30 phút đi là lên nói ảnh yếu sinh lý rồi,"<s>: 0.0169, ▁Th: 0.0093, ử: 0.018, ▁mà: 0.0251, ▁30: 0.0077, ▁phút: 0.0059, ▁đi: 0.0269, ▁là: 0.0563, ▁lên: 0.0687, ▁nói: 0.0641, ▁ảnh: 0.2105, ▁yếu: 9.8103, ▁sinh: 2.8117, ▁lý: 4.863, ▁rồi: 0.2088, </s>: 0.0784",1.1426,9.8103
5190,uh ha =)))) chắc còn ten bẩn chứ ai như lày,uh ha =)))) chắc content bẩn chứ ai như này,"<s>: 0.0169, ▁uh: 0.0019, ▁ha: 0.0302, ▁=: 0.0133, <unk>: 0.0764, ▁chắc: 0.0039, ▁content: 11.4006, ▁b: 0.012, ẩ: 0.0099, n: 0.0251, ▁chứ: 0.0271, ▁ai: 0.0287, ▁như: 0.0866, ▁này: 5.3192, </s>: 0.0852",1.1425,11.4006
5167,Spaylater n chỉ dành cho ai cs thu nhập vững đều thì hãng :)) Nh b h cứ mở ra rùi nghĩ ds là tiền của mìnk tiêu ko nhìn thì chịu luonn đấy .,SPayLater nó chỉ dành cho ai có thu nhập vững đều thì hãng :)) Nhiều bạn giờ cứ mở ra rồi nghĩ đó là tiền của mình tiêu không nhìn thì chịu luôn đấy .,"<s>: 0.0138, ▁S: 11.6294, Pay: 13.0553, La: 13.2675, ter: 5.9403, ▁nó: 0.0512, ▁chỉ: 0.0749, ▁dành: 0.0059, ▁cho: 0.0471, ▁ai: 0.0203, ▁có: 0.0736, ▁thu: 0.062, ▁nhập: 0.0729, ▁vững: 0.0127, ▁đều: 0.0151, ▁thì: 0.0974, ▁hãng: 0.0144, <unk>: 1.0406, ▁Nhiều: 0.159, ▁bạn: 0.0237, ▁giờ: 0.2643, ▁cứ: 0.0356, ▁mở: 0.0015, ▁ra: 0.0611, ▁rồi: 0.0569, ▁nghĩ: 0.0165, ▁đó: 0.0175, ▁là: 0.0746, ▁tiền: 0.0162, ▁của: 0.0883, ▁mình: 0.0273, ▁tiêu: 0.0443, ▁không: 0.1092, ▁nhìn: 0.0259, ▁thì: 0.1034, ▁chịu: 0.0033, ▁luôn: 0.0005, ▁đấy: 0.0044, ▁: 0.078, .: 0.035, </s>: 0.0372",1.1409,13.2675
529,"T mê ⚡️gây ở tq vcl, nwngs đ chịu đc💦","Tôi mê ⚡️gây ở trung quốc vãi cả lồn, nứng đéo chịu được💦","<s>: 0.0142, ▁Tôi: 0.2156, ▁mê: 0.0064, ▁: 0.6736, <unk>: 0.0437, <unk>: 0.0682, gâ: 0.003, y: 0.0206, ▁ở: 0.1033, ▁trung: 0.373, ▁quốc: 6.1811, ▁v: 0.0768, ã: 2.5256, i: 0.066, ▁cả: 0.6993, ▁lồ: 0.2455, n: 0.042, ,: 0.1003, ▁n: 4.6221, ứ: 12.405, ng: 0.4412, ▁đ: 2.6418, é: 0.0807, o: 0.0756, ▁chịu: 0.0032, ▁được: 0.0402, <unk>: 0.0581, </s>: 0.0432",1.1382,12.405
3042,zạ tụi mìh dạng photobooth ó chớ hem phại stu,dạ tụi mình dạng photobooth đó chứ không phải studio,"<s>: 0.0157, ▁dạ: 0.0994, ▁tụ: 0.0109, i: 0.0428, ▁mình: 0.0268, ▁dạng: 0.013, ▁photo: 0.0002, boot: 0.0012, h: 0.0066, ▁đó: 6.3996, ▁chứ: 0.581, ▁không: 0.217, ▁phải: 0.0948, ▁studio: 9.4915, </s>: 0.0665",1.1378,9.4915
9359,"ảnh flo cs 500 ng hà, mak chuỗi em thì ah k đăng tik..","ảnh follow có 500 người hà, mà chuỗi em thì anh không đăng TikTok..","<s>: 0.0139, ▁ảnh: 0.2501, ▁follow: 11.9765, ▁có: 0.0661, ▁500: 0.01, ▁người: 0.0696, ▁hà: 0.0031, ,: 0.0541, ▁mà: 0.0342, ▁chuỗi: 0.0004, ▁em: 0.0891, ▁thì: 0.1114, ▁anh: 0.053, ▁không: 0.0909, ▁đăng: 0.0043, ▁Tik: 6.1265, T: 3.8279, ok: 0.9057, .: 0.0802, .: 0.0634, </s>: 0.0609",1.1377,11.9765
9144,ê t đúng nể cj này lun í tr ơi😭😭hơn t 1t màk giỏi kinh khủng khiếp,ê tôi đúng nể chị này luôn ý trời ơi 😭😭 hơn tôi 1 tuổi mà giỏi kinh khủng khiếp,"<s>: 0.0154, ▁ê: 0.0005, ▁tôi: 0.123, ▁đúng: 0.0051, ▁n: 0.0758, ể: 0.004, ▁chị: 0.0897, ▁này: 0.0964, ▁luôn: 0.0329, ▁ý: 0.3987, ▁trời: 0.0189, ▁ơi: 0.0403, ▁: 7.4127, <unk>: 0.4125, <unk>: 11.3792, ▁hơn: 8.3294, ▁tôi: 0.0979, ▁1: 0.0251, ▁tuổi: 0.7457, ▁mà: 0.0729, ▁giỏi: 0.0017, ▁kinh: 0.0027, ▁khủng: 0.0018, ▁k: 0.1125, hiếp: 0.0035, </s>: 0.0625",1.1369,11.3792
9288,tr ơi siêu cưng😭!!!!,trời ơi siêu cưng 😭!!!!,"<s>: 0.014, ▁trời: 0.0168, ▁ơi: 0.041, ▁siêu: 0.0011, ▁cư: 0.0007, ng: 0.0372, ▁: 7.5357, <unk>: 0.0753, <unk>: 3.5604, </s>: 0.0823",1.1365,7.5357
6251,"Tui 28 tủi, tui bán Phở.","Tui 28 tuổi, tui bán phở.","<s>: 0.0145, ▁Tu: 0.0758, i: 0.099, ▁28: 0.0059, ▁tuổi: 9.2631, ,: 0.0828, ▁tui: 0.1135, ▁bán: 0.0455, ▁ph: 3.7683, ở: 0.0009, .: 0.0884, </s>: 0.0743",1.136,9.2631
2620,Cuti đuyên lunnn ý,Cute điên luôn ý,"<s>: 0.0148, ▁Cu: 0.0581, te: 0.1829, ▁điên: 7.5699, ▁luôn: 0.0095, ▁ý: 0.0105, </s>: 0.0762",1.1317,7.5699
982,Giữ nguyên giá để bảo vệ khách hàng?,- Giữ nguyên giá để bảo vệ khách hàng?,"<s>: 0.0145, ▁-: 12.6512, ▁Gi: 1.7588, ữ: 0.0133, ▁nguyên: 0.0125, ▁giá: 0.0251, ▁để: 0.0567, ▁bảo: 0.007, ▁vệ: 0.0133, ▁khách: 0.0192, ▁hàng: 0.0339, ?: 0.0468, </s>: 0.0542",1.1313,12.6512
7872,riel ko nhớ lắm rùi,real không nhớ lắm rồi,"<s>: 0.0159, ▁real: 7.6862, ▁không: 0.0871, ▁nhớ: 0.019, ▁lắm: 0.0128, ▁rồi: 0.0279, </s>: 0.0622",1.1301,7.6862
4070,bé nhà mik ăn meiji bị ik ngoài phân nhầy cs bọt nên mk đổi qua similac thấy khá oke,bé nhà mình ăn Meiji bị đi ngoài phân nhầy có bọt nên mình đổi qua Similac thấy khá ok,"<s>: 0.0146, ▁bé: 0.0225, ▁nhà: 0.112, ▁mình: 0.0202, ▁ăn: 0.0348, ▁Mei: 10.7734, ji: 0.4902, ▁bị: 0.0592, ▁đi: 0.0852, ▁ngoài: 0.0197, ▁phân: 0.003, ▁nh: 0.1151, ầ: 0.0027, y: 0.0253, ▁có: 0.1605, ▁b: 0.0228, ọ: 0.0109, t: 0.0528, ▁nên: 0.0882, ▁mình: 0.1437, ▁đổi: 0.0064, ▁qua: 0.045, ▁Si: 8.6955, mi: 4.1882, lac: 7.4248, ▁thấy: 0.0222, ▁khá: 0.0049, ▁ok: 0.0182, </s>: 0.0753",1.1289,10.7734
8831,đợt đók bọn t ik đà lạt mak bị dính mưa cug mần nhau cả ngày trg homestay lun đók,Đợt đó bọn tao đi Đà Lạt mà bị dính mưa cũng mần nhau cả ngày trong homestay luôn đó,"<s>: 0.0135, ▁Đ: 12.0319, ợ: 1.7157, t: 0.0832, ▁đó: 0.0971, ▁bọn: 0.0083, ▁tao: 3.1603, ▁đi: 0.0461, ▁Đà: 12.8587, ▁Lạt: 0.5739, ▁mà: 0.0696, ▁bị: 0.0708, ▁dí: 0.0006, nh: 0.0144, ▁mưa: 0.0049, ▁cũng: 0.073, ▁m: 0.0345, ầ: 0.0047, n: 0.046, ▁nhau: 0.0229, ▁cả: 0.0594, ▁ngày: 0.0153, ▁trong: 0.4638, ▁homes: 0.0002, tay: 0.0008, ▁luôn: 0.0326, ▁đó: 0.0207, </s>: 0.0562",1.1278,12.8587
