,text,target
1019,"H ngồi tiếc vì khum mua chứng xăng dầu, gas 🤓 các bác nào cs típ chs chứng khoán nào cho em xin ạk","Giờ ngồi tiếc vì không mua chứng khoán xăng dầu, gas 🤓 các bác nào có tips chơi chứng khoán nào cho em xin ạ"
1020,"uh ds tui cug ns là méo mó r mak chứ kco ủng hộ đâu nhé, nma k thể quy chụp bà ý hoàn toàn là ng xấu dc í","ừ đúng tui cũng nói là méo mó rồi mà chứ không có ủng hộ đâu nhé, nhưng mà không thể quy chụp bà ý hoàn toàn là người xấu được ý"
1021,"Tht ra đây là acc clone của MSN, Bách chào e Ngân nhá","Thật ra đây là account clone của MSN, Bách chào em Ngân nhé"
1022,4trăm còn đắt .tiền là lá mít àk,4 trăm còn đắt .tiền là lá mít à
1023,Cj còn coach khum ạk,Chị còn Coach không ạ
1024,"Nếu b ấy khiến b kảm thấy ntn, thì đúng là k dành cho nhau dùi.","Nếu bạn ấy khiến bạn cảm thấy như thế này, thì đúng là không dành cho nhau rồi."
1025,M thì Đag xem free,Mình thì Đang xem free
1026,Ks mk cứ “Lucky vicky“,Không sao mình cứ “Lucky Vicky“
1027,"Peyz nào độk thân, ẻm hẹn hò vs tui mò","Peyz nào độc thân, em hẹn hò với tôi mà"
1028,"• Lễ, tết x2; x3 (Theo BLLD).","• Lễ, tết x2; x3 (Theo Bộ luật Lao động)."
1029,Là do vđ đọc hiểu của t đúng ko chứ t wtf cái post này vl đấy,Là do vấn đề đọc hiểu của tôi đúng không chứ tôi what the fuck cái post này vãi lồn đấy
1030,Cạnh nhà mk cs bé cx nghệ an xjnk và dth lắm neh,Cạnh nhà mình có bé cũng Nghệ An xinh và dễ thương lắm nè
1031,"Tht sự luonn t khók vc,thương mấy ah lắm,thương Heeseung,thương Enha lắm","Thật sự luôn tôi khóc vãi chưởng,thương mấy anh lắm,thương Heeseung,thương Enhypen lắm"
1032,em nek cx là b ik du hok gửi tớ nuôi nèee ✨✨ hỏng phại ẻm bị bỏ rơi nhenn,em nè cũng là bạn đi du học gửi tớ nuôi nè ✨✨ không phải em bị bỏ rơi nhen
1033,ch mất lần đầu đọc cmt 😊,Chưa mất lần đầu đọc comment 😊
1034,2 hnay ăn no cơm tó của 2 ng này lun íii nhma t thík quáaa,2 hôm nay ăn no cơm chó của 2 người này luôn ý nhưng mà tôi thích quá
1035,kqt gỡ avt ik c bệnh 👎,không quan tâm gỡ avatar đi con bệnh 👎
1036,trộm vía zui zẻ nhiệt tình gth sản phẩm vs Cã nhà qe ☺️đề nghị lần sau nhãn hàng mời nhỏ nh nh nh nx nhaaaaa,trộm vía vui vẻ nhiệt tình giới thiệu sản phẩm với cả nhà quá ☺️đề nghị lần sau nhãn hàng mời nhỏ nhiều nhiều nhiều nữa nha
1037,Toai 97 ck toai 96 đây nì🤔,Tôi 97 chồng tôi 96 đây nè🤔
1038,Thử jod ik ship ik :))) zui lắm,Thử job đi ship đi :))) vui lắm
1039,tht ra t ghen tị zới tụi Cỏ😭,thật ra tôi ghen tị với tụi Cỏ 😭
1040,Clm shao tối nay lướt threads lắm post yêu đương tỏ tình z?,Cái lồn mẹ sao tối nay lướt threads lắm post yêu đương tỏ tình thế?
1041,Tao đg thất nghiệp màk thiệt tình là tao ko muốnvddi lm .,Tao đang thất nghiệp mà thiệt tình là tao không muốn đi làm .
1042,"Zô mấy group về jyotish, vedic trên fb lày.","Vô mấy group về jyotish, vedic trên facebook này."
1043,Hìh toàn khoe chim còn uốn éo màk ra vẻ j ỡ đây??,Hình toàn khoe chim còn uốn éo mà ra vẻ gì ở đây??
1044,zạ để tui gảnk tui cook nhá =))),dạ để tui rảnh tui cook nha =)))
1045,Độk lạ fan VB 🤣 soi cgi của nhỏ k ak Bữa soi tất nay soi tóc...,Độc lạ fan Vương Bình 🤣 soi cái gì của nhỏ không à Bữa soi tất nay soi tóc...
1046,B ơi nếu b cs thì b cs thể cho mk xin list các quán bar/pub ở HN đc ko ạk?,Bạn ơi nếu bạn có thì bạn có thể cho mình xin danh sách các quán bar/pub ở Hà Nội được không ạ?
1047,"tui cx k rõ, như t k giỏi ttrug lắm mak tui cs bằng đh ttrung tháng cũg 11-11tr r as","tui cũng không rõ, như tôi không giỏi tiếng trung lắm mà tui có bằng đại học tiếng trung tháng cũng 11-11tr rồi á"
1048,Dkm đtrai vl Dương ơiiii😭😭,Địt con mẹ đẹp trai vãi lồn Dương ơi😭😭
1049,Họ tâm sự vs nhau sau máy qay,Họ tâm sự với nhau sau máy quay
1050,ê thiệt hả...ý là thiệt z hả....?????,ê thiệt hả... ý là thiệt vậy hả....?????
1051,2 đứa đấy là mini boss thui.,hai đứa đấy là mini boss thôi.
1052,Content sôpa này cừi vãi Xem cho t bg cs ny phát 🌝,Content shop này cười vãi Xem cho tao bao giờ có người yêu phát 🌝
1053,"Hoá điên lên, ổng toàn chuyện trên tr rơi xuống.","Hóa điên lên, ổng toàn chuyện trên trời rơi xuống."
1054,nhả zía cho chú ong chăm chỉ,nhả vía cho chú ong chăm chỉ
1055,Bn muốn nghe kn của 1 giám đốc nh ko?,Bạn muốn nghe kinh nghiệm của 1 giám đốc ngân hàng không?
1056,Oi má ơi xin địa chỉii bác ơi,Ôi má ơi xin địa chỉ bác ơi
1057,"Cs hôm lm xog nằm tầm 30p xog lại đè ra mak nhg lần nthe lại lâu, 30-40p tê nhức ht cả kiu.","Có hôm làm xong nằm tầm 30 phút xong lại đè ra mà nhưng lần như thế lại lâu, 30-40 phút tê nhức hết cả con cặc."
1058,ko ý kiến j nhưg bó hoa n 6 tht :))) ko bằng mấy bó bó sẵn,không ý kiến gì nhưng bó hoa nó xấu thật :))) không bằng mấy bó bó sẵn
1059,full ss2 r ạk 🫰🏻,full season 2 rồi ạ 🫰🏻
1060,Thay vì kêu thì cố kiếm tiền nh rùi 2 mẹ c ra ở trọ riêng cho thoái mái,Thay vì kêu thì cố kiếm tiền nhiều rồi hai mẹ con ra ở trọ riêng cho thoải mái
1061,E xin zl vs ạk,Em xin Zalo với ạ
1062,Hoá ra chỉ cs bọn t né ziệc yêu nyc của nhau,Hóa ra chỉ có bọn tôi né việc yêu người yêu cũ của nhau
1063,Tgian Ca 4h: 155k/ca Ca Full: 7h30 – 17h,Thời gian Ca 4 giờ: 155k/ca Ca Full: 7 giờ 30 – 17 giờ
1064,Mom mak tìm hiểu bà này xog mom chỉ muốn kí đầu tk Bông thui😫,Mom mà tìm hiểu bà này xong mom chỉ muốn ký đầu thằng Bông thôi 😫
1065,Mk book ở ig s thấy giá theo tik toàn 1tr thui as mng 🥲 sợ run ví.,Mình book ở Instagram sao thấy giá theo TikTok toàn 1 triệu thôi á mọi người 🥲 sợ run ví.
1066,gsu :))) z thì nghiệp zụ cũg cs toàn năng quái đâu.,gia sư :))) thế thì nghiệp vụ cũng có toàn năng quái đâu.
1067,Ah t chỉ bt là chanh trc ik xin job CT cho bố bỉm ở weibo.,À tôi chỉ biết là chanh trước đi xin job CT cho bố bỉm ở Weibo.
1068,Nhìu nắng quó,Nhiều nắng quá
1069,"kéo vạch chống tràn, chọn đúng size bỉm mom ơi.","kéo vách chống tràn, chọn đúng size bỉm mom ơi."
1070,ko lquan lắm nma cs ai bt cái nào giống thập tông tội hay ghi chép pháp y hay kể lại qa trình tra án dựa trên các zụ án cs tht khum,không liên quan lắm nhưng mà có ai biết cái nào giống Thập tông tội hay Ghi chép pháp y hay kể lại quá trình tra án dựa trên các vụ án có thật không
1071,"Tui cx shock bà ạk, ai cs dè b tôi iu yordle đâu 😔","Tui cũng sốc bà ạ, ai có dè bạn tôi yêu yordle đâu 😔"
1072,Đăng link shopee thì im!,Đăng link Shopee thì im!
1073,Zạ c ơi e xin hd ạk,Dạ chị ơi em xin hướng dẫn ạ
1074,em bt,em bình thường
1075,Dạy ctm kh ai rõ hơn 2k7 đâu mấy ôg ah đòi kn nhma kthuc ctm kco thì như ko nhé,Dạy cấu trúc máy tính không ai rõ hơn 2k7 đâu mấy ông anh đòi kinh nghiệm nhưng mà kiến thức cấu trúc máy tính không có thì như không nhé
1076,cj khoái như v ak hhh,chị khoái như vậy à hihi
1077,còn hệ tc 1 nửa chỗ đấy thui nên là tùy thuộc c b vào đâu,còn hệ tiêu chuẩn 1 nửa chỗ đấy thôi nên là tùy thuộc con bạn vào đâu
1078,ôk z giới bt r nhé c cún thg bông,ok thế giới biết rồi nhé con cún thằng bông
1079,"Ckhai shop lên chứ b, chủ shop md nvay ko xứng đág","Công khai shop lên chứ bạn, chủ shop mất dạy như vậy không xứng đáng"
1080,nhg t ở HN r tui xin từ chối ợ 🥹🥹,Nhưng tôi ở Hà Nội rồi tôi xin từ chối ạ 🥹🥹
1081,"Ôii kảm ơn ""công chúa"" vì đã thik fibi ank Sơn","Ôi cảm ơn ""công chúa"" vì đã thích freebie anh Sơn"
1082,Cô dạy off ở đâu dzạy ạk,Cô dạy offline ở đâu vậy ạ
1083,T thấy m cx đăng clip xx tè le chứ tốt lành j zời .,Tôi thấy mày cũng đăng clip sex tè le chứ tốt lành gì trời .
1084,đbiet cả 5 đứa hát live giỏi lắm bồ 👍🏻,đặc biệt cả 5 đứa hát live giỏi lắm bồ 👍🏻
1085,APLLY NGAY THUI NÀO 🧡 • Tiệm đag tìm 02 bn đồng hành lâu dài ở vị trí Bán hàng kiêm hỗ trợ sản xuất đồ handmade.,APPLY NGAY THÔI NÀO 🧡 • Tiệm đang tìm 02 bạn đồng hành lâu dài ở vị trí Bán hàng kiêm hỗ trợ sản xuất đồ handmade.
1086,bik đâu sẽ sớm gặp nhau thui :D ở tui TLH lâm sàng còn ms nên nh cái vẫn sẽ ra HN hc ak mom,biết đâu sẽ sớm gặp nhau thôi :D ở tui Tâm lý học lâm sàng còn mới nên nhiều cái vẫn sẽ ra Hà Nội học á mom
1087,"m cs p c tao đâu"" ""Thì đók nào cô ik 5tr thì cn lấy chuyện nhà cô ah?""","""mày có phải con tao đâu"" ""Thì đó nào cô đi 5 triệu thì con lấy chuyện nhà cô à?"""
1088,Cs tiếng ah ổn ch ielts đc chấm nào chx?,Có tiếng Anh ổn chưa IELTS được chấm nào chưa?
1089,:))) ôi brand kêu là fan inter tgia đc xog cái bảng 50ng dell cs tên inter nào lunnn toàn tiếng thái may dell lao đầu vào nh,:))) ôi brand kêu là fan international tham gia được xong cái bảng 50 người đéo có tên international nào luôn toàn tiếng thái may đéo lao đầu vào nhiều
1090,Phí tuỳ tâm lun nhưg đông khách nên ph đợi lịch as.,Phí tùy tâm luôn nhưng đông khách nên phải đợi lịch á.
1091,Ra net cs máy thì ngồi chs mắc j xem tk máy bên cạnh lgi,Ra nét có máy thì ngồi chơi mắc gì xem thằng máy bên cạnh làm gì
1092,2 cha này cứ sáp lại là cs chiện=))) zui vl,hai cha này cứ sáp lại là có chuyện =))) vui vãi lồn
1093,kp nhà mt màk lên đòi nợ hộ chi dị ?,không phải nhà MT mà lên đòi nợ hộ chi vậy ?
1094,bây h e cứ đầu tư bthan mik cg chăm sóc cho bthan đẹp lên là cs ng tìm đến ah cg lên e nhé❤️,bây giờ em cứ đầu tư bản thân mình cũng chăm sóc cho bản thân đẹp lên là có người tìm đến à cố gắng lên em nhé❤️
1095,"cả zụ blhđ nx nhé,kh bk rõ đầu đuôi màk lên video để CĐM vào côg kích mấy c bé","cả vụ bạo lực học đường nữa nhé,không biết rõ đầu đuôi mà lên video để Cộng đồng mạng vào công kích mấy con bé"
1096,"Lớn rùi, ghen ra mặt nuôn","Lớn rồi, ghen ra mặt luôn"
1097,lâu lâu thấy hơi khó chịu nhẹ nhẹ =)) nhma t cx ráng snghi cũg cs thể do cách nchuyen của bả trên mạng v chứ k p pmg zề,lâu lâu thấy hơi khó chịu nhẹ nhẹ =)) nhưng mà tôi cũng ráng suy nghĩ cũng có thể do cách nói chuyện của bả trên mạng vậy chứ không phải pick me girl gì
1098,ỏoo 2 cj dthw qa tr,ỏ 2 chị dễ thương quá trời
1099,nghe đồn yhr ch cs lần nào tỏ tình mak bị từ chối,nghe đồn YHR chưa có lần nào tỏ tình mà bị từ chối
1100,Vt đơn lên sở LĐTBXH ngay.,Viết đơn lên sở Lao động - Thương binh và Xã hội ngay.
1101,"Điềm huyền khí đỉnk wa ạk, tốn nh gạo ko hả shop","Điểm huyền khí đỉnh quá ạ, tốn nhiều gạo không hả shop"
1102,Cj ơi cho e xin ảnh tổng z rạp đk ko.,Chị ơi cho em xin ảnh tổng thể rạp được không.
1103,nhạc hay mơ ơi thík bài nìiiiii,nhạc hay mơ ơi thích bài này
1104,nhâm nhi cf...là đã thấy cs mơ ước r.,nhâm nhi cà phê... là đã thấy cuộc sống mơ ước rồi.
1105,má ơi t xem màk t mê cách MC dẫn nka.,má ơi tui xem mà tui mê cách MC dẫn nha.
1106,Ik lm oằn lưng 8 tiếng đêm noel vào threads cái thays ngta yêu nhau r. Th thì ik xin vía ạk,Đi làm oằn lưng 8 tiếng đêm Noel vào threads cái thấy người ta yêu nhau rồi. Thôi thì đi xin vía ạ
1107,Mă đg stress màk nhìn n ht stress lun ds tr,Má đang stress mà nhìn nó hết stress luôn đó trời
1108,"cs bé user bằng tuổi ẻm đók, nhỏ chụt ít bn toàn mấy ah chj thuo🤣","có bé user bằng tuổi em đó, nhỏ chuột ít bạn toàn mấy anh chị thôi🤣"
1109,"Đây t cx cs 1 ca như nèk, thề dzô duyên vãi lun ý.","Đây tôi cũng có một ca như này, thề vô duyên vãi luôn ý."
1110,Chắc nh qa k bít chọn ai đkhum,Chắc nhiều quá không biết chọn ai đúng không
1111,Nếu bảo vệ quán ăn nhat hàng cafe thì dắt xe cực lắm,Nếu bảo vệ quán ăn nhà hàng cafe thì dắt xe cực lắm
1112,"trc khi qua tbn còn yêu xa 4 tháng nx 🥹 ảnh ns g là ảnh lm dc ht, ngầu vl","trước khi qua Tây Ban Nha còn yêu xa 4 tháng nữa 🥹 anh nói gì là anh làm được hết, ngầu vãi lồn"
1113,"Dth, kthuc nhg là trg êm đẹp thì đág mừng.","Dễ thương, kết thúc nhưng là trong êm đẹp thì đáng mừng."
1114,"Cs,xin ơn trên ban cho cn sự thông minh :))cuối tháng này lễ vào tới nơi nhé.","Có, xin ơn trên ban cho con sự thông minh :)) cuối tháng này lễ vào tới nơi nhé."
1115,Đợt mk tạo n liên kết cho VP bank bn,Đợt mình tạo nó liên kết cho VPBank bạn
1116,cậu ib t nka,cậu inbox tui nha
1117,Ăn đc 3 cuộn no mẹ r bf cơm là k ổn :))),Ăn được 3 cuộn no mẹ rồi buffet cơm là không ổn :)))
1118,"tr ơi mik tày, ck mường xem gia phả vt tiếng dân tộc k hiểu luonn kkk","trời ơi mình Tày, chồng Mường xem gia phả viết tiếng dân tộc không hiểu luôn kkk"
1119,"dm để cn theo họ mẹ cho xog, n co chăm đéo đau màk để họ n lm j","địt mẹ để con theo họ mẹ cho xong, nó có chăm đéo đâu mà để họ nó làm gì"
1120,cskh online tư vấn online cho khách về mảng thời trang giày hoặc các job khác nếu phù hợp ạk Em ko lm telesales ko đòi nợ,chăm sóc khách hàng online tư vấn online cho khách về mảng thời trang giày hoặc các job khác nếu phù hợp ạ Em không làm telesales không đòi nợ
1121,Lúc này thì cs màk cgái luỵ điên,Lúc này thì có mà con gái lụy điên
1122,tips hướng đến xây dựng hình ảnh cả nhân và lm ng côg chúg rất phù hợp.,tips hướng đến xây dựng hình ảnh cá nhân và làm người công chúng rất phù hợp.
1123,Ae cho hỏi tất toán cn tinvay này cs vay dc thêm ko ?,Anh em cho hỏi tất toán con Tinvay này có vay được thêm không ?
1124,"Đưa bằng chứng ck và tnhan, giấy vay mượn các thứ ra","Đưa bằng chứng chuyển khoản và tin nhắn, giấy vay mượn các thứ ra"
1125,cs tuyển partime ko ạk?,có tuyển part-time không ạ?
1126,Ko bjk vs b tầm bn là cao nhưg c em t ms ra trg tiếng trung hsk4,Không biết với bạn tầm bao nhiêu là cao nhưng con em tôi mới ra trường tiếng trung hsk4
1127,"Nuôi cn nhg ko cs nhu cầu Collect merch, pass bớt hồi máu :","Nuôi con nhưng không có nhu cầu collect merch, pass bớt hồi máu :"
1128,ib mk nek,inbox mình nè
1129,zới tn thử tham khảo ạk💗🥯🧁 direct IG:,với tốt nghiệp thử tham khảo ạ💗🥯🧁 direct Instagram:
1130,"""Mình đjt nhau mak k bị ng đời phán xét nka a""","""Mình địt nhau mà không bị người đời phán xét nha anh"""
1131,Cn thạch trang chắc cay từ ds h rùi màk n ko ns toẹt ra đấy thây 😌,Con Thạch Trang chắc cay từ đó giờ rồi mà nó không nói toẹt ra đấy thây 😌
1132,hc bằng TV+TA (khoảng 30-35% các môn bằng TA) điểm chung là đều là bằng chính quy ht,học bằng tiếng Việt + tiếng Anh (khoảng 30-35% các môn bằng tiếng Anh) điểm chung là đều là bằng chính quy hết
1133,nên tẩy chay mạnh để coi khu kh còn tiền thì lm đc cgi,nên tẩy chay mạnh để coi khi không còn tiền thì làm được cái gì
1134,lúc nào cx để trang cá nhân ckhai thik soi thi soi tôi ko vướng,lúc nào cũng để trang cá nhân công khai thích soi thì soi tôi không vướng
1135,Xl b nhưng Chữ gì v ạk,Xin lỗi bạn nhưng chữ gì vậy ạ
1136,"Nữ tháng 6 kh luỵ tình, mak cx chx chắc ai trap ai đâu 😌","Nữ tháng 6 không lụy tình, mà cũng chưa chắc ai trap ai đâu 😌"
1137,Có yc kn kh ạk,Có yêu cầu kinh nghiệm không ạ
1138,Tôi bik Viper cs tc dzới Peanut và tôi cm đc,Tôi biết Viper có tình cảm với Peanut và tôi chứng minh được
1139,chiéc xe đạp ngày nào em vẫn đạp lòi lôl 💔💔,chiếc xe đạp ngày nào em vẫn đạp lòi lồn 💔💔
1140,Đg hơi gảnk nhận coi tử vi free lấy tương tác nò,Đang hơi rảnh nhận coi tử vi free lấy tương tác nè
1141,Đọc sướng chít ik đc,Đọc sướng chết đi được
1142,Đoạn này jisoo dth xĩu,Đoạn này Jisoo dễ thương xỉu
1143,c ơi nhận dề Bình Phước cũ hog ạk,chị ơi nhận về Bình Phước cũ không ạ
1144,2k9 bg hc ổn k ạaaa,2k9 bây giờ học ổn không ạ
1145,"• Sáng & Chiều (Thứ 7, Cn).","• Sáng & Chiều (Thứ 7, Chủ Nhật)."
1146,gảnk qá nên đẩy thuyền xog lại căn ngăn ak. r từ đâu xuất hiện 1 c xin đăng nhờ link để về xem lại sau.,rảnh quá nên đẩy thuyền xong lại can ngăn à. rồi từ đâu xuất hiện một con xin đăng nhờ link để về xem lại sau.
1147,Ts p ghen CS DANH PHẬN J KO MAK GHEN,Tại sao phải ghen CÓ DANH PHẬN GÌ KHÔNG MÀ GHEN
1148,e cứ nch zới bố và mẹ vì họ cs li hôn thì cx vẫn p ik lm cs T lo cho e mak,em cứ nói chuyện với bố và mẹ vì họ có ly hôn thì cũng vẫn phải đi làm có tiền lo cho em mà
1149,để cm em của tụi t trg sạch và để đứa trẻ của tụi t ik ht đời tuyển thủ màk kco nỗi oan ức nào bám riết,để chứng minh em của chúng tôi trong sạch và để đứa trẻ của chúng tôi đi hết đời tuyển thủ mà không có nỗi oan ức nào bám riết
1150,chim tôi dzừa hồng dzừa nh lông này,Chim tôi vừa hồng vừa nhiều lông này
1151,S mk giống phe vé vt :)))),Sao mình giống phe vé vậy ta :))))
1152,Ổng ăn g mak đẹp zữ vậyyyy.,Ông ăn gì mà đẹp dữ vậy.
1153,đấy là b cho ngta thuê acc LinkedIn của b để seeding brand.,đấy là bạn cho người ta thuê tài khoản LinkedIn của bạn để seeding brand.
1154,t-t nể sốp r 🧎‍♀️,tôi nể shop rồi 🧎‍♀️
1155,Mik xin job an,Mình xin job ạ
1156,B xem onl ntn ạk,Bạn xem online như thế nào ạ
1157,📌 MÔ TẢ CVIEC,📌 MÔ TẢ CÔNG VIỆC
1158,"Nhà bà ở giữ gìn kĩ, tiện xây ms zới 2 mặt hẻm oto trc sau.","Nhà bà ở giữ gìn kỹ, tiện xây mới với 2 mặt hẻm ô tô trước sau."
1159,dần dần mk chỉ chờ n var là mìnk vả toét l bằng một tràng mìh đã cbi từ trc thui,dần dần mình chỉ chờ nó va chạm là mình vả toét lồn bằng một tràng mình đã chuẩn bị từ trước thôi
1160,Em xin zalo vs ạk,Em xin Zalo với ạ
1161,Mìnk đơn phương bn ấy 18/3 này b ấy bay sang Hàn du hc,Mình đơn phương bạn ấy 18/3 này bạn ấy bay sang Hàn Quốc du học
1162,"J4f th mom ơi,hoan hỉ cho tui nka bà,tại tui thấy mn cx lm nh r as.Nếu bà thấy phiền cho tui xl bà nh nka","Just for fun thôi mom ơi, hoan hỉ cho tôi nha bà, tại tôi thấy mọi người cũng làm nhiều rồi á. Nếu bà thấy phiền cho tôi xin lỗi bà nhiều nha"
1163,Bả méo còn qtam nx đâu nên khỏi réo.,Bả đéo còn quan tâm nữa đâu nên khỏi réo.
1164,Ui ngày xưa mjnhf nhớ từng mua tặng nyc 1 lần trg vincom,Ui ngày xưa mình nhớ từng mua tặng người yêu cũ 1 lần trong Vincom
1165,Vs lại bên Nw chủ yếu chs NVNK as nên hay lên quà lúc nvnk.,Với lại bên Nw chủ yếu chơi NVNK á nên hay lên quà lúc nvnk.
1166,Bác nào am hiểu nghía qua cho e cung mệnh tài quan vs ạk 😇 Ik xem cần xem 3 cái qt nhất thì thầy bảo vứt mịe ik k cần xem ủa zalo??,Bác nào am hiểu nghía qua cho em cung Mệnh Tài Quan với ạ 😇 Đi xem cần xem 3 cái quan trọng nhất thì thầy bảo vứt mẹ đi không cần xem ủa Zalo??
1167,"Bả thì 🍑🔥 ce trg group, trốn k trả nợ, thấy chủ nợ thì xoá post.","Bả thì 🍑🔥 chị em trong group, trốn không trả nợ, thấy chủ nợ thì xóa post."
1168,ah chj nào cs kn zì cs thể chia sẻ cho em zới đk ạk huhuh em cx định thi đgnl ctct mak e sợ k kịp ạk,anh chị nào có kinh nghiệm gì có thể chia sẻ cho em với được không ạ huhu em cũng định thi đánh giá năng lực chính trị mà em sợ không kịp ạ
1169,Ank đag lm chủ một trung tâm dạy Toán - Lý - Hoá - Văn - Ah tại quận 3 - TPHCM cho hs lớp 6 đến 12 vs hơn 200 hok viên chủ yếu là lớp 6 đến 9.,Anh đang làm chủ một trung tâm dạy Toán - Lý - Hóa - Văn - Anh tại Quận 3 - Thành phố Hồ Chí Minh cho học sinh lớp 6 đến 12 với hơn 200 học viên chủ yếu là lớp 6 đến 9.
1170,kảm thấy mk ngu s1tg🥰,cảm thấy mình ngu số 1 thế giới🥰
1171,TÔI THẤY BTHG,TÔI THẤY BÌNH THƯỜNG
1172,Cban gái cứ theo côg thức này mak mần nhé :))),Các bạn gái cứ theo công thức này mà làm nhé :)))
1173,M bị thần kinh ah ?,Mày bị thần kinh à?
1174,Màu xanh mang cgiac bình yên trung hoà lại kảm xúc ds ạk,Màu xanh mang cảm giác bình yên trung hòa lại cảm xúc đó ạ
1175,cả tg ph bt đã tặng quà cho zk,cả thế giới phải biết đã tặng quà cho vợ
1176,Là khi b kảm thấy lương cs cao cx ko thắng đc hoài bão tuổi trẻ :() lương tuy nh nhg t ko muốn ik lm đêm lên chọn dứt áo rời ik 🥲ai khuyên t cx hỏng lỏi,Là khi bạn cảm thấy lương có cao cũng không thắng được hoài bão tuổi trẻ :() lương tuy nhiều nhưng tôi không muốn đi làm đêm lên chọn dứt áo rời đi 🥲ai khuyên tôi cũng không nổi
1177,"tht í thík xem sét gây tq vcl, ai rcm cho t vs đc kh","thật ý thích xem sét gây trung quốc vãi cả lồn, ai recommend cho tôi với được không"
1178,ah confirm cj,à confirm chị
1179,2: Bùng VAYVND cs bị thưa kiện ko?,2: Bùng VayVND có bị thưa kiện không?
1180,K bik mng tnao chứ mik và gf đg sống chung,Không biết mọi người thế nào chứ mình và girlfriend đang sống chung
1181,Từ 8h - 17h nka,Từ 8 giờ - 17 giờ nha
1182,"Ko em ạk , app đen cs p nh đâu mak lên nợ xấu đc em","Không em ạ , app đen có phải ngân hàng đâu mà lên nợ xấu được em"
1183,Đók h ko đu ng trung là vì v=))) Vả lại idol cx ko hợp vibe,Đó giờ không đu người Trung là vì vậy =))) Vả lại idol cũng không hợp vibe
1184,Và mng nhìn cái lyrics này 🥺😭 ôi t khok ngay từ lần đầu nghe vì mel hay + lời touchin qá 🥺 'Họ cố ik định giá nhx kảm xúc,Và mọi người nhìn cái lyrics này 🥺😭 ôi tôi khóc ngay từ lần đầu nghe vì melody hay + lời touching quá 🥺 'Họ cố đi định giá những cảm xúc
1185,Trạm ơi ở HCM cx cs biển nx as💔😭,Trạm ơi ở Hồ Chí Minh cũng có biển nữa á 💔😭
1186,tội mấy chú xe ôm cnghe mấy ngày này lắm lun as cj My :(((((,tội mấy chú xe ôm công nghệ mấy ngày này lắm luôn á chị My :(((((
1187,Shop cs túi nào cs ngăn riêng đựng lap ko ạk chứ đựng vầy trầy ht lap màk dễ va đụng móp hư mh… lắm,Shop có túi nào có ngăn riêng đựng laptop không ạ chứ đựng vậy trầy hết laptop mà dễ va đụng móp hư màn hình… lắm
1188,ik chang v mak t còn ns “ I will try my best “ đm lúc đók điên vcl,y chang vậy mà tao còn nói “ I will try my best “ địt mẹ lúc đó điên vãi lồn
1189,tui block nhạc nc ngoài vì chỉ muốn nghe nhạc Ziệt trên BXH nhạc Ziệt =))),tôi block nhạc nước ngoài vì chỉ muốn nghe nhạc Việt trên bảng xếp hạng nhạc Việt =)))
1190,"vớ va vớ vẩn, vote xoá bài","vớ va vớ vẩn, vote xóa bài"
1191,"Trg khoảng tg t điều chỉnh lại kảm xúc, t vẫn ch bt K thik t","Trong khoảng thời gian tao điều chỉnh lại cảm xúc, tao vẫn chưa biết K thích tao"
1192,Nếu màk cặp nào cg z thì tgia ctrinh như chx hề cs cuộc chia ly ik ạk.,Nếu mà cặp nào cũng thế thì tham gia chương trình Như chưa hề có cuộc chia ly đi ạ.
1193,Các bác xem nhx vị trí đag tuyển dụng ở bài ngay dưới bài này nka ❤️iuu,Các bác xem những vị trí đang tuyển dụng ở bài ngay dưới bài này nha ❤️yêu
1194,hoa giả hay thiec ạk,hoa giả hay thiệt ạ
1195,voilai lúc khó khăn k còn cách nào thì mk cs vay ngiu mik h áy náy qá,với lại lúc khó khăn không còn cách nào thì mình có vay người yêu mình giờ áy náy quá
1196,Nghe màk ph ấ đù luông,Nghe mà phải á đù luôn
1197,"""Không...Phúc Nguyên kco dzề để ns zới Lâm Ah đâu...""","""Không... Phúc Nguyên không có gì để nói với Lâm Anh đâu..."""
1198,"S lm đc hay vt, muốn bắt chước 😁😁","Sao làm được hay vậy ta, muốn bắt chước 😁😁"
1199,Màk hnao quậy là bành ki ó.,Mà hôm nào quậy là bành ki đó.
1200,gồi tin hơn r. Sau cứ ph z cho ngta tin :)))),rồi tin hơn rồi. Sau cứ phải thế cho người ta tin :)))
1201,hjc chj nhận nhóm nhìu thui neh,hic chị nhận nhóm nhiều thôi nè
1202,Còn cha gia Igeon chắc ngoài Goeun ra thì sẽ nch vs Haeun,Còn cha già Igeon chắc ngoài Goeun ra thì sẽ nói chuyện với Haeun
1203,Ê đúng nka yêu c chatgpt ổn áp,Ê đúng nha yêu con ChatGPT ổn áp
1204,"nên là nín, ko cs khók!","Nên là nín, không có khóc!"
1205,Đc thêm Ah Lực ngồi ngoài xúi mấy đứa mukbang vs full menu cn chụt 🤣,Được thêm Anh Lực ngồi ngoài xúi mấy đứa mukbang với full menu con chuột 🤣
1206,"- uk tao vẫn ship, kệ mẹ tao ik","- ừ tao vẫn ship, kệ mẹ tao đi"
1207,casio bác hc đâu z,Casio bác học đâu vậy
