sentence,list
Cảnh sát đang trên đường tới nhà cậu.,"['Cảnh', 'sát', 'đang', 'trên', 'đường', 'tới', 'nhà', 'cậu.']"
Ba thằng khốn... đánh một người trong khi mấy người khác đang nhìn... và bọn mày muốn biết tao có vấn đề gì hả?,"['Ba', 'thằng', 'khốn...', 'đánh', 'một', 'người', 'trong', 'khi', 'mấy', 'người', 'khác', 'đang', 'nhìn...', 'và', 'bọn', 'mày', 'muốn', 'biết', 'tao', 'có', 'vấn', 'đề', 'gì', 'hả?']"
"đẹp thật anh nghĩ em cũng thật tuyệt nữa, .... nếu em đồng ý đeo nó.","['đẹp', 'thật', 'anh', 'nghĩ', 'em', 'cũng', 'thật', 'tuyệt', 'nữa,', '....', 'nếu', 'em', 'đồng', 'ý', 'đeo', 'nó.']"
Tôi tới vì tôi còn nợ ông sự chân thành và tôn trọng... để đích thân nói ông biết việc này.,"['Tôi', 'tới', 'vì', 'tôi', 'còn', 'nợ', 'ông', 'sự', 'chân', 'thành', 'và', 'tôn', 'trọng...', 'để', 'đích', 'thân', 'nói', 'ông', 'biết', 'việc', 'này.']"
- Khi mà chiếc xe của anh ta bị chết máy ?,"['-', 'Khi', 'mà', 'chiếc', 'xe', 'của', 'anh', 'ta', 'bị', 'chết', 'máy', '?']"
(Gloria) Tôi vẫn có thể đặt mê cung vết thương vào mũi tên của bạn?,"['(Gloria)', 'Tôi', 'vẫn', 'có', 'thể', 'đặt', 'mê', 'cung', 'vết', 'thương', 'vào', 'mũi', 'tên', 'của', 'bạn?']"
đó chỉ là một nhà dưỡng lão.,"['đó', 'chỉ', 'là', 'một', 'nhà', 'dưỡng', 'lão.']"
Lời khen Thiên Chúa. - Lời khen Thiên Chúa thực sự.,"['Lời', 'khen', 'Thiên', 'Chúa.', '-', 'Lời', 'khen', 'Thiên', 'Chúa', 'thực', 'sự.']"
- Thế có bắn xuyên qua không?,"['-', 'Thế', 'có', 'bắn', 'xuyên', 'qua', 'không?']"
- Anh gọi đấy là hạ cánh?,"['-', 'Anh', 'gọi', 'đấy', 'là', 'hạ', 'cánh?']"
Sự mất mát không thể bù đắp được chỉ trong một năm.,"['Sự', 'mất', 'mát', 'không', 'thể', 'bù', 'đắp', 'được', 'chỉ', 'trong', 'một', 'năm.']"
Bà ấy không bao giờ nói về chúa tốt bụng nhân từ nữa,"['Bà', 'ấy', 'không', 'bao', 'giờ', 'nói', 'về', 'chúa', 'tốt', 'bụng', 'nhân', 'từ', 'nữa']"
"Nhưng bởi vì ta đã ở đây, hãy cùng vui, đúng không?","['Nhưng', 'bởi', 'vì', 'ta', 'đã', 'ở', 'đây,', 'hãy', 'cùng', 'vui,', 'đúng', 'không?']"
Anh ở đây vì tụi anh không làm chuyện đó Anh ở đây vì tụi anh bị gài bẫy,"['Anh', 'ở', 'đây', 'vì', 'tụi', 'anh', 'không', 'làm', 'chuyện', 'đó', 'Anh', 'ở', 'đây', 'vì', 'tụi', 'anh', 'bị', 'gài', 'bẫy']"
Thủ tướng ở đây là rất tốt.,"['Thủ', 'tướng', 'ở', 'đây', 'là', 'rất', 'tốt.']"
Anh có thể mặc cho em xem được không ?,"['Anh', 'có', 'thể', 'mặc', 'cho', 'em', 'xem', 'được', 'không', '?']"
tôi không thuộc típ người thường xuyên tặng keo hoặc hoa cho người yêu.,"['tôi', 'không', 'thuộc', 'típ', 'người', 'thường', 'xuyên', 'tặng', 'keo', 'hoặc', 'hoa', 'cho', 'người', 'yêu.']"
"nếu muốn tôi làm việc này, cậu phải trả hậu cho tôi đấy.","['nếu', 'muốn', 'tôi', 'làm', 'việc', 'này,', 'cậu', 'phải', 'trả', 'hậu', 'cho', 'tôi', 'đấy.']"
Tiếc là không ở đây được lâu hơn.,"['Tiếc', 'là', 'không', 'ở', 'đây', 'được', 'lâu', 'hơn.']"
Những vụ bắt cóc xảy ra ngẫu nhiên đều đặn hai năm một lần.,"['Những', 'vụ', 'bắt', 'cóc', 'xảy', 'ra', 'ngẫu', 'nhiên', 'đều', 'đặn', 'hai', 'năm', 'một', 'lần.']"
"Các huynh đệ, đưa cậu ấy đi trị thương đi.","['Các', 'huynh', 'đệ,', 'đưa', 'cậu', 'ấy', 'đi', 'trị', 'thương', 'đi.']"
Tôi sẽ làm bất cứ việc gì...,"['Tôi', 'sẽ', 'làm', 'bất', 'cứ', 'việc', 'gì...']"
Trở lại việc bảo vệ không gian của anh đi.,"['Trở', 'lại', 'việc', 'bảo', 'vệ', 'không', 'gian', 'của', 'anh', 'đi.']"
Tìm xem ai là thân thích và bạn bè của Jennifer Wilson.,"['Tìm', 'xem', 'ai', 'là', 'thân', 'thích', 'và', 'bạn', 'bè', 'của', 'Jennifer', 'Wilson.']"
Tao chỉ muốn cho hắn thấy bây giờ người ta hờ hững với tôn giáo ra sao.,"['Tao', 'chỉ', 'muốn', 'cho', 'hắn', 'thấy', 'bây', 'giờ', 'người', 'ta', 'hờ', 'hững', 'với', 'tôn', 'giáo', 'ra', 'sao.']"
"Màu nó rất đẹp, chỉ là hơi khó nhìn trong ánh sáng này.","['Màu', 'nó', 'rất', 'đẹp,', 'chỉ', 'là', 'hơi', 'khó', 'nhìn', 'trong', 'ánh', 'sáng', 'này.']"
Chuẩn bị cho phi vụ mới à?,"['Chuẩn', 'bị', 'cho', 'phi', 'vụ', 'mới', 'à?']"
-Có muốn nhắc tôi đừng làm thế nữa không?,"['-Có', 'muốn', 'nhắc', 'tôi', 'đừng', 'làm', 'thế', 'nữa', 'không?']"
anh có lý do để làm như thế.,"['anh', 'có', 'lý', 'do', 'để', 'làm', 'như', 'thế.']"
Về nơ ở của em ấm áp như thế nào.,"['Về', 'nơ', 'ở', 'của', 'em', 'ấm', 'áp', 'như', 'thế', 'nào.']"
- Cậu đang tập luyện bí mật với ai à?,"['-', 'Cậu', 'đang', 'tập', 'luyện', 'bí', 'mật', 'với', 'ai', 'à?']"
Kí ức vẫn tồn tại trong đó dù cho cô có ý thức được hay không.,"['Kí', 'ức', 'vẫn', 'tồn', 'tại', 'trong', 'đó', 'dù', 'cho', 'cô', 'có', 'ý', 'thức', 'được', 'hay', 'không.']"
Tôi đã có hành lý của các anh.,"['Tôi', 'đã', 'có', 'hành', 'lý', 'của', 'các', 'anh.']"
Và tôi sẽ làm một cái chìa khóa khác.,"['Và', 'tôi', 'sẽ', 'làm', 'một', 'cái', 'chìa', 'khóa', 'khác.']"
Và chúng là những người bình thường đó.,"['Và', 'chúng', 'là', 'những', 'người', 'bình', 'thường', 'đó.']"
Lũ nhãi ranh sao ngay từ đầu lại để bị bắt vậy chứ?,"['Lũ', 'nhãi', 'ranh', 'sao', 'ngay', 'từ', 'đầu', 'lại', 'để', 'bị', 'bắt', 'vậy', 'chứ?']"
Độ thấp khi bay Trọng lượng và nhiên liệu.,"['Độ', 'thấp', 'khi', 'bay', 'Trọng', 'lượng', 'và', 'nhiên', 'liệu.']"
Không thành vấn đề Giờ tôi có cấp dưới mới,"['Không', 'thành', 'vấn', 'đề', 'Giờ', 'tôi', 'có', 'cấp', 'dưới', 'mới']"
Người hùng chỉ dành cho kẻ thất bại thôi.,"['Người', 'hùng', 'chỉ', 'dành', 'cho', 'kẻ', 'thất', 'bại', 'thôi.']"
Anh ấy cứu bạn lần nữa rồi đấy.,"['Anh', 'ấy', 'cứu', 'bạn', 'lần', 'nữa', 'rồi', 'đấy.']"
Và rồi chúng tôi tìm thấy Sunnyside,"['Và', 'rồi', 'chúng', 'tôi', 'tìm', 'thấy', 'Sunnyside']"
"Đêm nay, tôi sẽ đi Giả phủ.","['Đêm', 'nay,', 'tôi', 'sẽ', 'đi', 'Giả', 'phủ.']"
Có phải cuốn phim chỉ nhiều cách làm tình khác nhau?,"['Có', 'phải', 'cuốn', 'phim', 'chỉ', 'nhiều', 'cách', 'làm', 'tình', 'khác', 'nhau?']"
- Bạn không quyết định rằng một phần.,"['-', 'Bạn', 'không', 'quyết', 'định', 'rằng', 'một', 'phần.']"
Tôi chả có chỗ nào để trốn cả.,"['Tôi', 'chả', 'có', 'chỗ', 'nào', 'để', 'trốn', 'cả.']"
Chúng ta không thể bắt hắn ở Mexico.,"['Chúng', 'ta', 'không', 'thể', 'bắt', 'hắn', 'ở', 'Mexico.']"
Người nên cân nhắc một lần nữa,"['Người', 'nên', 'cân', 'nhắc', 'một', 'lần', 'nữa']"
"Có cái nhìn độc ác trong mắt nó, và tôi không hề thích một tí nào.","['Có', 'cái', 'nhìn', 'độc', 'ác', 'trong', 'mắt', 'nó,', 'và', 'tôi', 'không', 'hề', 'thích', 'một', 'tí', 'nào.']"
Bà đã mang nó bên mình suốt từ lần sinh nhật gần đây nhất của cháu.,"['Bà', 'đã', 'mang', 'nó', 'bên', 'mình', 'suốt', 'từ', 'lần', 'sinh', 'nhật', 'gần', 'đây', 'nhất', 'của', 'cháu.']"
Máy quay nhà ga không thấy họ.,"['Máy', 'quay', 'nhà', 'ga', 'không', 'thấy', 'họ.']"
-Bởi vì Gail mang giày hiệu Prada.,"['-Bởi', 'vì', 'Gail', 'mang', 'giày', 'hiệu', 'Prada.']"
nhà cháu sẽ bị mất nơi này.,"['nhà', 'cháu', 'sẽ', 'bị', 'mất', 'nơi', 'này.']"
Tôi có thể mời ngài Nhũ hoa thần Vệ nữ không?,"['Tôi', 'có', 'thể', 'mời', 'ngài', 'Nhũ', 'hoa', 'thần', 'Vệ', 'nữ', 'không?']"
Anh cảm thấy như sắp chết rồi.,"['Anh', 'cảm', 'thấy', 'như', 'sắp', 'chết', 'rồi.']"
Cô làm tôi nuốt mất viên kẹo.,"['Cô', 'làm', 'tôi', 'nuốt', 'mất', 'viên', 'kẹo.']"
"Nếu cậu tiếp tục, chúng tôi buộc phải mời cậu xuống.","['Nếu', 'cậu', 'tiếp', 'tục,', 'chúng', 'tôi', 'buộc', 'phải', 'mời', 'cậu', 'xuống.']"
- Đó là ý của anh à?,"['-', 'Đó', 'là', 'ý', 'của', 'anh', 'à?']"
Con gái và con trai phải nhau 6 feet theo tiêu chuẩn.,"['Con', 'gái', 'và', 'con', 'trai', 'phải', 'nhau', '6', 'feet', 'theo', 'tiêu', 'chuẩn.']"
Vì anh là 1 cảnh sát giỏi.,"['Vì', 'anh', 'là', '1', 'cảnh', 'sát', 'giỏi.']"
Mừng cô đến nhà mới của chúng tôi.,"['Mừng', 'cô', 'đến', 'nhà', 'mới', 'của', 'chúng', 'tôi.']"
Chỉ là tớ thực sự yêu cái cảm giác tự do đó.,"['Chỉ', 'là', 'tớ', 'thực', 'sự', 'yêu', 'cái', 'cảm', 'giác', 'tự', 'do', 'đó.']"
Bà Yancey Cravat Văn phòng Báo Wigwam,"['Bà', 'Yancey', 'Cravat', 'Văn', 'phòng', 'Báo', 'Wigwam']"
Em chỉ muốn cái gì đó thật đơn giản.,"['Em', 'chỉ', 'muốn', 'cái', 'gì', 'đó', 'thật', 'đơn', 'giản.']"
- Họ không muốn thả hắn ra.,"['-', 'Họ', 'không', 'muốn', 'thả', 'hắn', 'ra.']"
Nó tên là bệnh viện tâm thần Riverdale.,"['Nó', 'tên', 'là', 'bệnh', 'viện', 'tâm', 'thần', 'Riverdale.']"
- Chào B. Cho tôi một bia.,"['-', 'Chào', 'B.', 'Cho', 'tôi', 'một', 'bia.']"
Khiến sư mẫu của con phải nộ khí,"['Khiến', 'sư', 'mẫu', 'của', 'con', 'phải', 'nộ', 'khí']"
chúng nó đã chuồn lâu lắm rồi chúng đi qua hệ thống hầm vệ sinh.,"['chúng', 'nó', 'đã', 'chuồn', 'lâu', 'lắm', 'rồi', 'chúng', 'đi', 'qua', 'hệ', 'thống', 'hầm', 'vệ', 'sinh.']"
"Nhưng cháu vẫn chưa thể tin được,","['Nhưng', 'cháu', 'vẫn', 'chưa', 'thể', 'tin', 'được,']"
- Và thằng của chuối Sal Lanana...,"['-', 'Và', 'thằng', 'của', 'chuối', 'Sal', 'Lanana...']"
Cô ấy nghĩ rằng anh đã chết.,"['Cô', 'ấy', 'nghĩ', 'rằng', 'anh', 'đã', 'chết.']"
Tim ngừng đập và chỉ để giải trí cho 1 đứa trẻ.,"['Tim', 'ngừng', 'đập', 'và', 'chỉ', 'để', 'giải', 'trí', 'cho', '1', 'đứa', 'trẻ.']"
Tôi biết cô có đồng xu nhưng trước khi cô đi dến chỗ Sarang..,"['Tôi', 'biết', 'cô', 'có', 'đồng', 'xu', 'nhưng', 'trước', 'khi', 'cô', 'đi', 'dến', 'chỗ', 'Sarang..']"
Tôi chơi bài đó tối nay .,"['Tôi', 'chơi', 'bài', 'đó', 'tối', 'nay', '.']"
Cậu có thể trở thành một thợ bẫy giỏi.,"['Cậu', 'có', 'thể', 'trở', 'thành', 'một', 'thợ', 'bẫy', 'giỏi.']"
Xin lỗi nếu tôi có làm con các cô phải sợ.,"['Xin', 'lỗi', 'nếu', 'tôi', 'có', 'làm', 'con', 'các', 'cô', 'phải', 'sợ.']"
"Điều đó khiến tôi xin thông báo, thứ hai.","['Điều', 'đó', 'khiến', 'tôi', 'xin', 'thông', 'báo,', 'thứ', 'hai.']"
Chúng ta chuẩn bị về với Chúa!,"['Chúng', 'ta', 'chuẩn', 'bị', 'về', 'với', 'Chúa!']"
Có lẽ con nên dành chút cơ hội nếu có 1 kho báu như thế chờ đợi con trong phòng riêng.,"['Có', 'lẽ', 'con', 'nên', 'dành', 'chút', 'cơ', 'hội', 'nếu', 'có', '1', 'kho', 'báu', 'như', 'thế', 'chờ', 'đợi', 'con', 'trong', 'phòng', 'riêng.']"
Chúng tôi cần phải kiểm tra xem cái điện thoại có trên bàn không?,"['Chúng', 'tôi', 'cần', 'phải', 'kiểm', 'tra', 'xem', 'cái', 'điện', 'thoại', 'có', 'trên', 'bàn', 'không?']"
"Một thằng DEA bị bắn, cả Washington bắt đầu sủa.","['Một', 'thằng', 'DEA', 'bị', 'bắn,', 'cả', 'Washington', 'bắt', 'đầu', 'sủa.']"
Đáng lẽ khi đó con đã được xem nơi này rồi.,"['Đáng', 'lẽ', 'khi', 'đó', 'con', 'đã', 'được', 'xem', 'nơi', 'này', 'rồi.']"
Tôi chỉ không hiểu khái niệm rằng giờ sẽ biến thành năm ở dưới đó.,"['Tôi', 'chỉ', 'không', 'hiểu', 'khái', 'niệm', 'rằng', 'giờ', 'sẽ', 'biến', 'thành', 'năm', 'ở', 'dưới', 'đó.']"
"- Sammy có thể suy nghĩ bình thường, nhưng anh ta không thể nhớ những ký ức mới.","['-', 'Sammy', 'có', 'thể', 'suy', 'nghĩ', 'bình', 'thường,', 'nhưng', 'anh', 'ta', 'không', 'thể', 'nhớ', 'những', 'ký', 'ức', 'mới.']"
"Vợ anh ta sa lầy trong đống hóa đơn, và tôi được đề bạt.","['Vợ', 'anh', 'ta', 'sa', 'lầy', 'trong', 'đống', 'hóa', 'đơn,', 'và', 'tôi', 'được', 'đề', 'bạt.']"
"Được rồi, Mình thấy phấn chấn rồi đấy.","['Được', 'rồi,', 'Mình', 'thấy', 'phấn', 'chấn', 'rồi', 'đấy.']"
chẳng được tìm thấy ở đâu cả trở lại thành phố,"['chẳng', 'được', 'tìm', 'thấy', 'ở', 'đâu', 'cả', 'trở', 'lại', 'thành', 'phố']"
"À này, tôi không có ý lấy câu khẩu hiệu của ông, nhưng...","['À', 'này,', 'tôi', 'không', 'có', 'ý', 'lấy', 'câu', 'khẩu', 'hiệu', 'của', 'ông,', 'nhưng...']"
"Có thể nói, nhưng khồng nghe được.","['Có', 'thể', 'nói,', 'nhưng', 'khồng', 'nghe', 'được.']"
Ngươi trả tiền đi rồi ta nói .,"['Ngươi', 'trả', 'tiền', 'đi', 'rồi', 'ta', 'nói', '.']"
Một nửa kia là da đỏ Kiowa.,"['Một', 'nửa', 'kia', 'là', 'da', 'đỏ', 'Kiowa.']"
Giấc mơ đầu ta sẽ có 1 tuần.,"['Giấc', 'mơ', 'đầu', 'ta', 'sẽ', 'có', '1', 'tuần.']"
Tiền mà Lazlo Gogolak cho chúng tôi như một món quà cưới.,"['Tiền', 'mà', 'Lazlo', 'Gogolak', 'cho', 'chúng', 'tôi', 'như', 'một', 'món', 'quà', 'cưới.']"
Mấy đứa nhóc đừng quá thất vọng nếu kế hoạch không tiến hành được nghe.,"['Mấy', 'đứa', 'nhóc', 'đừng', 'quá', 'thất', 'vọng', 'nếu', 'kế', 'hoạch', 'không', 'tiến', 'hành', 'được', 'nghe.']"
- Cái xe ở chỗ quái nào rồi?,"['-', 'Cái', 'xe', 'ở', 'chỗ', 'quái', 'nào', 'rồi?']"
Xấu xa Đó là điều tôi giỏi nhất.,"['Xấu', 'xa', 'Đó', 'là', 'điều', 'tôi', 'giỏi', 'nhất.']"
Chúng ta khá nhanh nhạy phải không?,"['Chúng', 'ta', 'khá', 'nhanh', 'nhạy', 'phải', 'không?']"
"H, bÑn câu ½õôc trñi thõïng ½Þy","['H,', 'bÑn', 'câu', '½õôc', 'trñi', 'thõïng', '½Þy']"
"À, thậm chí còn ngược lại ấy chứ.","['À,', 'thậm', 'chí', 'còn', 'ngược', 'lại', 'ấy', 'chứ.']"
Điệp viên của chúng ta nói khác.,"['Điệp', 'viên', 'của', 'chúng', 'ta', 'nói', 'khác.']"
Chẳng lẽ chúng ta không thể tự làm cho mình một buổi diễn bí mật sao?,"['Chẳng', 'lẽ', 'chúng', 'ta', 'không', 'thể', 'tự', 'làm', 'cho', 'mình', 'một', 'buổi', 'diễn', 'bí', 'mật', 'sao?']"
"Clarissa, coi nào em biết tụi anh vô tội","['Clarissa,', 'coi', 'nào', 'em', 'biết', 'tụi', 'anh', 'vô', 'tội']"
Con có thể làm phần còn lại.,"['Con', 'có', 'thể', 'làm', 'phần', 'còn', 'lại.']"
Chúng tôi đã đi săn cả tối.,"['Chúng', 'tôi', 'đã', 'đi', 'săn', 'cả', 'tối.']"
Thực ra thì chỉ có một thôi.,"['Thực', 'ra', 'thì', 'chỉ', 'có', 'một', 'thôi.']"
Nhưng nếu họ từ Nhật thì tôi chắc chắn sẽ từ chối.,"['Nhưng', 'nếu', 'họ', 'từ', 'Nhật', 'thì', 'tôi', 'chắc', 'chắn', 'sẽ', 'từ', 'chối.']"
Không thì sẽ bị đuổi ra khỏi bầy.,"['Không', 'thì', 'sẽ', 'bị', 'đuổi', 'ra', 'khỏi', 'bầy.']"
- Với một người đàn ông sao?,"['-', 'Với', 'một', 'người', 'đàn', 'ông', 'sao?']"
"Vậy là, con muốn bố để cho 1 người khác theo con vào mộng tưởng của con.","['Vậy', 'là,', 'con', 'muốn', 'bố', 'để', 'cho', '1', 'người', 'khác', 'theo', 'con', 'vào', 'mộng', 'tưởng', 'của', 'con.']"
Anh không còn nhớ câu hỏi là gì nhưng...,"['Anh', 'không', 'còn', 'nhớ', 'câu', 'hỏi', 'là', 'gì', 'nhưng...']"
Mussolini thấy ngày tàn của chế độ đã cận kề...,"['Mussolini', 'thấy', 'ngày', 'tàn', 'của', 'chế', 'độ', 'đã', 'cận', 'kề...']"
"Vì ta nói lắp, quỷ tha ma bắt!","['Vì', 'ta', 'nói', 'lắp,', 'quỷ', 'tha', 'ma', 'bắt!']"
"Các bà, các cô, vợ, con, chăn màn, quần áo... bệnh nhân, mọi thứ linh tinh...!","['Các', 'bà,', 'các', 'cô,', 'vợ,', 'con,', 'chăn', 'màn,', 'quần', 'áo...', 'bệnh', 'nhân,', 'mọi', 'thứ', 'linh', 'tinh...!']"
Hẳn là phải có những kế hoạch khác.,"['Hẳn', 'là', 'phải', 'có', 'những', 'kế', 'hoạch', 'khác.']"
đã nói không để mình làm sao rồi,"['đã', 'nói', 'không', 'để', 'mình', 'làm', 'sao', 'rồi']"
Cảnh sát nào mà chả biết chứ.,"['Cảnh', 'sát', 'nào', 'mà', 'chả', 'biết', 'chứ.']"
"Ta Çã Çi quá xa không th ngØng låi ÇÜc n""a.","['Ta', 'Çã', 'Çi', 'quá', 'xa', 'không', 'th', 'ngØng', 'låi', 'ÇÜc', 'n""a.']"
"Nó có thể rất kỳ lạ, nhưng em sẽ chấp nhận vì đó như một bằng chứng về sự trưởng thành.","['Nó', 'có', 'thể', 'rất', 'kỳ', 'lạ,', 'nhưng', 'em', 'sẽ', 'chấp', 'nhận', 'vì', 'đó', 'như', 'một', 'bằng', 'chứng', 'về', 'sự', 'trưởng', 'thành.']"
Rằng anh ta sống được đã rất ấn tượng.,"['Rằng', 'anh', 'ta', 'sống', 'được', 'đã', 'rất', 'ấn', 'tượng.']"
- Và bạn không cho tôi những thông tin tôi hỏi.,"['-', 'Và', 'bạn', 'không', 'cho', 'tôi', 'những', 'thông', 'tin', 'tôi', 'hỏi.']"
Hơi mâu thuẫn với quan điểm của tôi nhưng để mọi chuyện ổn thỏa... được chứ?,"['Hơi', 'mâu', 'thuẫn', 'với', 'quan', 'điểm', 'của', 'tôi', 'nhưng', 'để', 'mọi', 'chuyện', 'ổn', 'thỏa...', 'được', 'chứ?']"
Lẽ ra tôi không nên đấu với hắn,"['Lẽ', 'ra', 'tôi', 'không', 'nên', 'đấu', 'với', 'hắn']"
Hắn muốn một người mới để thay đổi trò chơi.,"['Hắn', 'muốn', 'một', 'người', 'mới', 'để', 'thay', 'đổi', 'trò', 'chơi.']"
Chúng tôi sẽ mở màn mùa diễn này với phiên bản mới vở Swan Lake của tôi.,"['Chúng', 'tôi', 'sẽ', 'mở', 'màn', 'mùa', 'diễn', 'này', 'với', 'phiên', 'bản', 'mới', 'vở', 'Swan', 'Lake', 'của', 'tôi.']"
Tôi đang giúp tìm ra xem anh đang gặp vấn đề gì.,"['Tôi', 'đang', 'giúp', 'tìm', 'ra', 'xem', 'anh', 'đang', 'gặp', 'vấn', 'đề', 'gì.']"
Hồ ly đã chui ra hang !,"['Hồ', 'ly', 'đã', 'chui', 'ra', 'hang', '!']"
có chắc là muốn làm vậy không hả.,"['có', 'chắc', 'là', 'muốn', 'làm', 'vậy', 'không', 'hả.']"
Ta chắc chắn sẽ bị bắt nếu đi bộ thế này.,"['Ta', 'chắc', 'chắn', 'sẽ', 'bị', 'bắt', 'nếu', 'đi', 'bộ', 'thế', 'này.']"
Chứng bệnh của tôi là do bị tổn thương tai.,"['Chứng', 'bệnh', 'của', 'tôi', 'là', 'do', 'bị', 'tổn', 'thương', 'tai.']"
Lại xung đột với Jaden nữa hả?,"['Lại', 'xung', 'đột', 'với', 'Jaden', 'nữa', 'hả?']"
"Claire, chẳng bao giờ bắt tôi đợi.","['Claire,', 'chẳng', 'bao', 'giờ', 'bắt', 'tôi', 'đợi.']"
Tôi cũng sống chết để tìm gia đình mình.,"['Tôi', 'cũng', 'sống', 'chết', 'để', 'tìm', 'gia', 'đình', 'mình.']"
Chúng ta phải vào trong họ không thể làm điều đó tôi đã lấy nhiều nhất có thể Là do Julian,"['Chúng', 'ta', 'phải', 'vào', 'trong', 'họ', 'không', 'thể', 'làm', 'điều', 'đó', 'tôi', 'đã', 'lấy', 'nhiều', 'nhất', 'có', 'thể', 'Là', 'do', 'Julian']"
- Ông phải hiểu là chỉ đọc 1 đoạn văn không phản ánh đúng ...,"['-', 'Ông', 'phải', 'hiểu', 'là', 'chỉ', 'đọc', '1', 'đoạn', 'văn', 'không', 'phản', 'ánh', 'đúng', '...']"
Cô...cô có biết trước là chồng cô sẽ gặp tai nạn không?,"['Cô...cô', 'có', 'biết', 'trước', 'là', 'chồng', 'cô', 'sẽ', 'gặp', 'tai', 'nạn', 'không?']"
"Thần, không có chức quyền gì cả","['Thần,', 'không', 'có', 'chức', 'quyền', 'gì', 'cả']"
"không, cô ấy đúng. tao không cần phải biết bọn mày đang làm gì","['không,', 'cô', 'ấy', 'đúng.', 'tao', 'không', 'cần', 'phải', 'biết', 'bọn', 'mày', 'đang', 'làm', 'gì']"
"- Tớ biết mà, của em Tracy Thornhill.","['-', 'Tớ', 'biết', 'mà,', 'của', 'em', 'Tracy', 'Thornhill.']"
"Đứa trẻ của ngươi giờ đâu hả, cảnh sát trưởng?","['Đứa', 'trẻ', 'của', 'ngươi', 'giờ', 'đâu', 'hả,', 'cảnh', 'sát', 'trưởng?']"
Nếu tôi không bòn rút vài trăm ngàn đồng từ anh ta,"['Nếu', 'tôi', 'không', 'bòn', 'rút', 'vài', 'trăm', 'ngàn', 'đồng', 'từ', 'anh', 'ta']"
Tôi không rõ nó ở đâu nữa.,"['Tôi', 'không', 'rõ', 'nó', 'ở', 'đâu', 'nữa.']"
"Hãy ra dấu cho chúng tôi, tôi là phó cai ngục McPherson","['Hãy', 'ra', 'dấu', 'cho', 'chúng', 'tôi,', 'tôi', 'là', 'phó', 'cai', 'ngục', 'McPherson']"
Nó đang tiến đến chỗ chúng ta.,"['Nó', 'đang', 'tiến', 'đến', 'chỗ', 'chúng', 'ta.']"
Hai vị khách quan có dùng không?,"['Hai', 'vị', 'khách', 'quan', 'có', 'dùng', 'không?']"
"Tớ ném cho cô ấy 2 viên aspirin, cố ấy đớp lấy y như chó vậy.","['Tớ', 'ném', 'cho', 'cô', 'ấy', '2', 'viên', 'aspirin,', 'cố', 'ấy', 'đớp', 'lấy', 'y', 'như', 'chó', 'vậy.']"
Anh không muốn lên chức mà không được lặn.,"['Anh', 'không', 'muốn', 'lên', 'chức', 'mà', 'không', 'được', 'lặn.']"
nhưng thế không có nghĩ là em được quyền làm sai luật.,"['nhưng', 'thế', 'không', 'có', 'nghĩ', 'là', 'em', 'được', 'quyền', 'làm', 'sai', 'luật.']"
"Hamir đã đạt được ý nguyện, bởi vì chẳng bao lâu sau đó ổng đã làm tôi có thai.","['Hamir', 'đã', 'đạt', 'được', 'ý', 'nguyện,', 'bởi', 'vì', 'chẳng', 'bao', 'lâu', 'sau', 'đó', 'ổng', 'đã', 'làm', 'tôi', 'có', 'thai.']"
"Sau một tuần rưỡi, tôi chia tay.","['Sau', 'một', 'tuần', 'rưỡi,', 'tôi', 'chia', 'tay.']"
Cô ấy không thích ngươi nữa đâu,"['Cô', 'ấy', 'không', 'thích', 'ngươi', 'nữa', 'đâu']"
"Snot, Legs, núp vào điểm mù của nó.","['Snot,', 'Legs,', 'núp', 'vào', 'điểm', 'mù', 'của', 'nó.']"
Cháu đã làm lúc ở L.A rồi.,"['Cháu', 'đã', 'làm', 'lúc', 'ở', 'L.A', 'rồi.']"
Gã Çáng cht dÜi bàn tay Çàn bà!,"['Gã', 'Çáng', 'cht', 'dÜi', 'bàn', 'tay', 'Çàn', 'bà!']"
Đây là nơi chúng tôi học về cá bức hình.,"['Đây', 'là', 'nơi', 'chúng', 'tôi', 'học', 'về', 'cá', 'bức', 'hình.']"
Chút đi thay đổi không khí thôi.,"['Chút', 'đi', 'thay', 'đổi', 'không', 'khí', 'thôi.']"
"Cậu nói cậu muốn một cuộc sống bình thường, đúng không?","['Cậu', 'nói', 'cậu', 'muốn', 'một', 'cuộc', 'sống', 'bình', 'thường,', 'đúng', 'không?']"
Tới gần Magenta anh sẽ thấy một chiếc Fiat Tempra màu xanh đậm cùng những tấm biển Pescara.,"['Tới', 'gần', 'Magenta', 'anh', 'sẽ', 'thấy', 'một', 'chiếc', 'Fiat', 'Tempra', 'màu', 'xanh', 'đậm', 'cùng', 'những', 'tấm', 'biển', 'Pescara.']"
Nó làm tớ cảm thấy như ...,"['Nó', 'làm', 'tớ', 'cảm', 'thấy', 'như', '...']"
"đủ rồi đấy, trả kẹo singum lại cho tôi tôi sẽ làm được!","['đủ', 'rồi', 'đấy,', 'trả', 'kẹo', 'singum', 'lại', 'cho', 'tôi', 'tôi', 'sẽ', 'làm', 'được!']"
"Này, tôi tha thứ việc anh xen vào chuyện giữa tôi và con ngốc kia.","['Này,', 'tôi', 'tha', 'thứ', 'việc', 'anh', 'xen', 'vào', 'chuyện', 'giữa', 'tôi', 'và', 'con', 'ngốc', 'kia.']"
